r,t,y,TotalTechnologyAnnualActivity
KENYA,PWRGEO002,2039,4.1736
KENYA,PWRGEO002,2040,4.1736
KENYA,PWRGEO003,2019,3.0109
KENYA,PWRGEO003,2020,3.0109
KENYA,PWRGEO003,2021,3.0109
KENYA,PWRGEO003,2022,3.0109
KENYA,PWRGEO003,2023,3.0109
KENYA,PWRGEO003,2024,3.0109
KENYA,PWRGEO003,2025,3.0109
KENYA,PWRGEO003,2026,3.0109
KENYA,PWRGEO003,2027,3.0109
KENYA,PWRGEO003,2028,3.0109
KENYA,PWRGEO004,2019,1.902
KENYA,PWRGEO004,2020,1.902
KENYA,PWRGEO004,2021,1.902
KENYA,PWRGEO004,2022,1.902
KENYA,PWRGEO004,2023,1.902
KENYA,PWRGEO004,2024,1.902
KENYA,PWRGEO004,2025,1.902
KENYA,PWRGEO004,2026,1.902
KENYA,PWRGEO004,2027,1.902
KENYA,PWRGEO004,2028,1.902
KENYA,PWRGEO004,2029,1.902
KENYA,PWRGEO004,2030,1.902
KENYA,PWRGEO004,2031,1.902
KENYA,PWRGEO004,2032,1.902
KENYA,PWRGEO004,2033,1.902
KENYA,PWRGEO004,2034,1.902
KENYA,PWRGEO004,2035,1.902
KENYA,PWRGEO004,2036,1.902
KENYA,PWRGEO004,2037,1.902
KENYA,PWRGEO004,2038,1.902
KENYA,PWRGEO004,2039,1.902
KENYA,PWRGEO004,2040,1.902
KENYA,PWRGEO004,2041,1.902
KENYA,PWRGEO004,2042,1.902
KENYA,PWRGEO005,2019,1.1805
KENYA,PWRGEO005,2020,1.1805
KENYA,PWRGEO005,2021,1.1805
KENYA,PWRGEO005,2022,1.1805
KENYA,PWRGEO005,2023,1.1805
KENYA,PWRGEO005,2024,1.1805
KENYA,PWRGEO005,2025,1.1805
KENYA,PWRGEO005,2026,1.1805
KENYA,PWRGEO005,2027,1.1805
KENYA,PWRGEO005,2028,1.1805
KENYA,PWRGEO005,2029,1.1805
KENYA,PWRGEO005,2030,1.1805
KENYA,PWRGEO005,2031,1.1805
KENYA,PWRGEO005,2032,1.1805
KENYA,PWRGEO005,2033,1.1805
KENYA,PWRGEO005,2034,1.1805
KENYA,PWRGEO005,2035,1.1805
KENYA,PWRGEO005,2036,1.1805
KENYA,PWRGEO005,2037,1.1805
KENYA,PWRGEO006,2019,4.1736
KENYA,PWRGEO006,2020,4.1736
KENYA,PWRGEO006,2021,4.1736
KENYA,PWRGEO006,2022,4.1736
KENYA,PWRGEO006,2023,4.1736
KENYA,PWRGEO006,2024,4.1736
KENYA,PWRGEO006,2025,4.1736
KENYA,PWRGEO006,2026,4.1736
KENYA,PWRGEO006,2027,4.1736
KENYA,PWRGEO006,2028,4.1736
KENYA,PWRGEO006,2029,4.1736
KENYA,PWRGEO006,2030,4.1736
KENYA,PWRGEO006,2031,4.1736
KENYA,PWRGEO006,2032,4.1736
KENYA,PWRGEO006,2033,4.1736
KENYA,PWRGEO006,2034,4.1736
KENYA,PWRGEO006,2035,4.1736
KENYA,PWRGEO006,2036,4.1736
KENYA,PWRGEO006,2037,4.1736
KENYA,PWRGEO006,2038,4.1736
KENYA,PWRGEO006,2039,4.1736
KENYA,PWRGEO007,2019,1.3296
KENYA,PWRGEO007,2020,1.3296
KENYA,PWRGEO007,2021,1.3296
KENYA,PWRGEO007,2022,1.3296
KENYA,PWRGEO007,2023,1.3296
KENYA,PWRGEO007,2024,1.3296
KENYA,PWRGEO007,2025,1.3296
KENYA,PWRGEO007,2026,1.3296
KENYA,PWRGEO008,2019,0.8645
KENYA,PWRGEO008,2020,0.8645
KENYA,PWRGEO008,2021,0.8645
KENYA,PWRGEO008,2022,0.8645
KENYA,PWRGEO008,2023,0.8645
KENYA,PWRGEO008,2024,0.8645
KENYA,PWRGEO008,2025,0.8645
KENYA,PWRGEO008,2026,0.8645
KENYA,PWRGEO008,2027,0.8645
KENYA,PWRGEO008,2028,0.8645
KENYA,PWRGEO008,2029,0.8645
KENYA,PWRGEO008,2030,0.8645
KENYA,PWRGEO008,2031,0.8645
KENYA,PWRGEO008,2032,0.8645
KENYA,PWRGEO008,2033,0.8645
KENYA,PWRGEO008,2034,0.8645
KENYA,PWRGEO008,2035,0.8645
KENYA,PWRGEO008,2036,0.8645
KENYA,PWRGEO008,2037,0.8645
KENYA,PWRGEO008,2038,0.8645
KENYA,PWRGEO008,2039,0.8645
KENYA,PWRGEO008,2040,0.8645
KENYA,PWRGEO009,2019,0.8198
KENYA,PWRGEO009,2020,0.8198
KENYA,PWRGEO009,2021,0.8198
KENYA,PWRGEO009,2022,0.8198
KENYA,PWRGEO009,2023,0.8198
KENYA,PWRGEO009,2024,0.8198
KENYA,PWRGEO009,2025,0.8198
KENYA,PWRGEO009,2026,0.8198
KENYA,PWRGEO009,2027,0.8198
KENYA,PWRGEO009,2028,0.8198
KENYA,PWRGEO009,2029,0.8198
KENYA,PWRGEO009,2030,0.8198
KENYA,PWRGEO010,2023,1.0434
KENYA,PWRGEO010,2024,1.0434
KENYA,PWRGEO010,2025,1.0434
KENYA,PWRGEO010,2026,1.0434
KENYA,PWRGEO010,2027,1.0434
KENYA,PWRGEO010,2028,1.0434
KENYA,PWRGEO010,2029,1.0434
KENYA,PWRGEO010,2030,1.0434
KENYA,PWRGEO010,2031,1.0434
KENYA,PWRGEO010,2032,1.0434
KENYA,PWRGEO010,2033,1.0434
KENYA,PWRGEO010,2034,1.0434
KENYA,PWRGEO010,2035,1.0434
KENYA,PWRGEO010,2036,1.0434
KENYA,PWRGEO010,2037,1.0434
KENYA,PWRGEO010,2038,1.0434
KENYA,PWRGEO010,2039,1.0434
KENYA,PWRGEO010,2040,1.0434
KENYA,PWRGEO010,2041,1.0434
KENYA,PWRGEO010,2042,1.0434
KENYA,PWRGEO010,2043,1.0434
KENYA,PWRGEO010,2044,1.0434
KENYA,PWRGEO010,2045,1.0434
KENYA,PWRGEO010,2046,1.0434
KENYA,PWRGEO010,2047,1.0434
KENYA,PWRGEO011,2022,2.4833
KENYA,PWRGEO011,2023,2.4833
KENYA,PWRGEO011,2024,2.4833
KENYA,PWRGEO011,2025,2.4833
KENYA,PWRGEO011,2026,2.4833
KENYA,PWRGEO011,2027,2.4833
KENYA,PWRGEO011,2028,2.4833
KENYA,PWRGEO011,2029,2.4833
KENYA,PWRGEO011,2030,2.4833
KENYA,PWRGEO011,2031,2.4833
KENYA,PWRGEO011,2032,2.4833
KENYA,PWRGEO011,2033,2.4833
KENYA,PWRGEO011,2034,2.4833
KENYA,PWRGEO011,2035,2.4833
KENYA,PWRGEO011,2036,2.4833
KENYA,PWRGEO011,2037,2.4833
KENYA,PWRGEO011,2038,2.4833
KENYA,PWRGEO011,2039,2.4833
KENYA,PWRGEO011,2040,2.4833
KENYA,PWRGEO011,2041,2.4833
KENYA,PWRGEO011,2042,2.4833
KENYA,PWRGEO011,2043,2.4833
KENYA,PWRGEO011,2044,2.4833
KENYA,PWRGEO011,2045,2.4833
KENYA,PWRGEO011,2046,2.4833
KENYA,PWRGEO012,2019,4.7102
KENYA,PWRGEO012,2020,4.7102
KENYA,PWRGEO012,2021,4.7102
KENYA,PWRGEO012,2022,4.7102
KENYA,PWRGEO012,2023,4.7102
KENYA,PWRGEO012,2024,4.7102
KENYA,PWRGEO012,2025,4.7102
KENYA,PWRGEO012,2026,4.7102
KENYA,PWRGEO012,2027,4.7102
KENYA,PWRGEO012,2028,4.7102
KENYA,PWRGEO012,2029,4.7102
KENYA,PWRGEO012,2030,4.7102
KENYA,PWRGEO012,2031,4.7102
KENYA,PWRGEO012,2032,4.7102
KENYA,PWRGEO012,2033,4.7102
KENYA,PWRGEO012,2034,4.7102
KENYA,PWRGEO012,2035,4.7102
KENYA,PWRGEO012,2036,4.7102
KENYA,PWRGEO012,2037,4.7102
KENYA,PWRGEO012,2038,4.7102
KENYA,PWRGEO012,2039,4.7102
KENYA,PWRGEO012,2040,4.7102
KENYA,PWRGEO012,2041,4.7102
KENYA,PWRGEO012,2042,4.7102
KENYA,PWRGEO012,2043,4.7102
KENYA,PWRGEO012,2044,4.7102
KENYA,PWRGEO013,2029,3.5378
KENYA,PWRGEO013,2030,4.1736
KENYA,PWRGEO013,2031,4.1736
KENYA,PWRGEO013,2032,4.1736
KENYA,PWRGEO013,2033,4.1736
KENYA,PWRGEO013,2034,4.1736
KENYA,PWRGEO013,2035,4.1736
KENYA,PWRGEO013,2036,4.1736
KENYA,PWRGEO013,2037,4.1736
KENYA,PWRGEO013,2038,4.1736
KENYA,PWRGEO013,2039,4.1736
KENYA,PWRGEO013,2040,4.1736
KENYA,PWRGEO013,2041,4.1736
KENYA,PWRGEO013,2042,4.1736
KENYA,PWRGEO013,2043,4.1736
KENYA,PWRGEO013,2044,4.1736
KENYA,PWRGEO013,2045,4.1736
KENYA,PWRGEO013,2046,4.1736
KENYA,PWRGEO013,2047,4.1736
KENYA,PWRGEO013,2048,4.1736
KENYA,PWRGEO013,2049,4.1736
KENYA,PWRGEO013,2050,4.1736
KENYA,PWRGEO014,2029,4.1736
KENYA,PWRGEO014,2030,4.1736
KENYA,PWRGEO014,2031,4.1736
KENYA,PWRGEO014,2032,4.1736
KENYA,PWRGEO014,2033,4.1736
KENYA,PWRGEO014,2034,4.1736
KENYA,PWRGEO014,2035,4.1736
KENYA,PWRGEO014,2036,4.1736
KENYA,PWRGEO014,2037,4.1736
KENYA,PWRGEO014,2038,4.1736
KENYA,PWRGEO014,2039,4.1736
KENYA,PWRGEO014,2040,4.1736
KENYA,PWRGEO014,2041,4.1736
KENYA,PWRGEO014,2042,4.1736
KENYA,PWRGEO014,2043,4.1736
KENYA,PWRGEO014,2044,4.1736
KENYA,PWRGEO014,2045,4.1736
KENYA,PWRGEO014,2046,4.1736
