r,t,y,AnnualFixedOperatingCost
KENYA,PWRGEO034,2049,5.3368
KENYA,PWRGEO034,2050,5.3368
KENYA,PWRGEO035,2031,5.3368
KENYA,PWRGEO035,2032,5.3368
KENYA,PWRGEO035,2033,5.3368
KENYA,PWRGEO035,2034,5.3368
KENYA,PWRGEO035,2035,5.3368
KENYA,PWRGEO035,2036,5.3368
KENYA,PWRGEO035,2037,5.3368
KENYA,PWRGEO035,2038,5.3368
KENYA,PWRGEO035,2039,5.3368
KENYA,PWRGEO035,2040,5.3368
KENYA,PWRGEO035,2041,5.3368
KENYA,PWRGEO035,2042,5.3368
KENYA,PWRGEO035,2043,5.3368
KENYA,PWRGEO035,2044,5.3368
KENYA,PWRGEO035,2045,5.3368
KENYA,PWRGEO035,2046,5.3368
KENYA,PWRGEO035,2047,5.3368
KENYA,PWRGEO035,2048,5.3368
KENYA,PWRGEO035,2049,5.3368
KENYA,PWRGEO035,2050,5.3368
KENYA,PWRGEO038,2026,3.0376
KENYA,PWRGEO038,2027,3.0376
KENYA,PWRGEO038,2028,3.0376
KENYA,PWRGEO038,2029,3.0376
KENYA,PWRGEO038,2030,3.0376
KENYA,PWRGEO038,2031,3.0376
KENYA,PWRGEO038,2032,3.0376
KENYA,PWRGEO038,2033,3.0376
KENYA,PWRGEO038,2034,3.0376
KENYA,PWRGEO038,2035,3.0376
KENYA,PWRGEO038,2036,3.0376
KENYA,PWRGEO038,2037,3.0376
KENYA,PWRGEO038,2038,3.0376
KENYA,PWRGEO038,2039,3.0376
KENYA,PWRGEO038,2040,3.0376
KENYA,PWRGEO038,2041,3.0376
KENYA,PWRGEO038,2042,3.0376
KENYA,PWRGEO038,2043,3.0376
KENYA,PWRGEO038,2044,3.0376
KENYA,PWRGEO038,2045,3.0376
KENYA,PWRGEO038,2046,3.0376
KENYA,PWRGEO038,2047,3.0376
KENYA,PWRGEO038,2048,3.0376
KENYA,PWRGEO038,2049,3.0376
KENYA,PWRGEO038,2050,3.0376
KENYA,PWRGEO040,2019,1.8388
KENYA,PWRGEO040,2020,1.8388
KENYA,PWRGEO040,2021,1.8388
KENYA,PWRGEO040,2022,1.8388
KENYA,PWRGEO040,2023,1.8388
KENYA,PWRGEO040,2024,1.8388
KENYA,PWRGEO040,2025,1.8388
KENYA,PWRGEO040,2026,1.8388
KENYA,PWRGEO040,2027,1.8388
KENYA,PWRGEO040,2028,1.8388
KENYA,PWRGEO040,2029,1.8388
KENYA,PWRGEO040,2030,1.8388
KENYA,PWRGEO040,2031,1.8388
KENYA,PWRGEO040,2032,1.8388
KENYA,PWRGEO040,2033,1.8388
KENYA,PWRGEO040,2034,1.8388
KENYA,PWRGEO040,2035,1.8388
KENYA,PWRGEO040,2036,1.8388
KENYA,PWRGEO040,2037,1.8388
KENYA,PWRGEO040,2038,1.8388
KENYA,PWRGEO042,2039,7.5
KENYA,PWRGEO042,2040,7.5
KENYA,PWRGEO042,2041,7.5
KENYA,PWRGEO042,2042,7.5
KENYA,PWRGEO042,2043,7.5
KENYA,PWRGEO042,2044,7.5
KENYA,PWRGEO042,2045,7.5
KENYA,PWRGEO042,2046,7.5
KENYA,PWRGEO042,2047,7.5
KENYA,PWRGEO042,2048,7.5
KENYA,PWRGEO042,2049,7.5
KENYA,PWRGEO042,2050,7.5
KENYA,PWRGEO047,2019,2.2782
KENYA,PWRGEO047,2020,2.2782
KENYA,PWRGEO047,2021,2.2782
KENYA,PWRGEO047,2022,2.2782
KENYA,PWRGEO047,2023,2.2782
KENYA,PWRGEO049,2025,3.1895
KENYA,PWRGEO049,2026,3.1895
KENYA,PWRGEO049,2027,3.1895
KENYA,PWRGEO049,2028,3.1895
KENYA,PWRGEO049,2029,3.1895
KENYA,PWRGEO049,2030,3.1895
