r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,2,1,1,2041,0.0046
KENYA,BESS001,2,1,1,2042,-0.0785
KENYA,BESS001,2,1,1,2043,-0.1817
KENYA,BESS001,2,1,1,2044,-0.043
KENYA,BESS001,2,1,1,2045,-0.2575
KENYA,BESS001,2,1,1,2046,-0.2809
KENYA,BESS001,2,1,1,2047,-0.3022
KENYA,BESS001,2,1,1,2048,-0.2231
KENYA,BESS001,2,1,1,2049,-0.4721
KENYA,BESS001,2,1,1,2050,-0.3784
KENYA,BESS001,2,1,2,2027,0.047
KENYA,BESS001,2,1,2,2030,-0.0074
KENYA,BESS001,2,1,2,2031,-0.0094
KENYA,BESS001,2,1,2,2036,0.0213
KENYA,BESS001,2,1,2,2041,0.1112
KENYA,BESS001,2,1,2,2042,0.1112
KENYA,BESS001,2,1,2,2043,0.2075
KENYA,BESS001,2,1,2,2044,0.2612
KENYA,BESS001,2,1,2,2045,0.3299
KENYA,BESS001,2,1,2,2046,0.2695
KENYA,BESS001,2,1,2,2047,0.2302
KENYA,BESS001,2,1,2,2048,0.2523
KENYA,BESS001,2,1,2,2049,0.1196
KENYA,BESS001,2,1,2,2050,0.1653
KENYA,BESS001,2,1,3,2025,0.0021
KENYA,BESS001,2,1,3,2026,0.0092
KENYA,BESS001,2,1,3,2027,0.004
KENYA,BESS001,2,1,3,2033,0.0516
KENYA,BESS001,2,1,3,2034,0.2458
KENYA,BESS001,2,1,3,2035,0.1379
KENYA,BESS001,2,1,3,2036,0.0224
KENYA,BESS001,2,1,3,2041,0.0933
KENYA,BESS001,2,1,3,2042,0.2225
KENYA,BESS001,2,1,3,2043,0.415
KENYA,BESS001,2,1,3,2044,0.5224
KENYA,BESS001,2,1,3,2045,0.6917
KENYA,BESS001,2,1,3,2046,0.7827
KENYA,BESS001,2,1,3,2047,0.9329
KENYA,BESS001,2,1,3,2048,0.9294
KENYA,BESS001,2,1,3,2049,0.9294
KENYA,BESS001,2,1,3,2050,0.9018
KENYA,BESS001,2,1,4,2025,-0.0124
KENYA,BESS001,2,1,4,2026,-0.0198
KENYA,BESS001,2,1,4,2027,-0.0645
KENYA,BESS001,2,1,4,2028,-0.0192
KENYA,BESS001,2,1,4,2029,-0.0262
KENYA,BESS001,2,1,4,2030,-0.0881
KENYA,BESS001,2,1,4,2031,-0.0774
KENYA,BESS001,2,1,4,2032,-0.093
KENYA,BESS001,2,1,4,2033,-0.0792
KENYA,BESS001,2,1,4,2034,-0.2108
KENYA,BESS001,2,1,4,2035,-0.1984
KENYA,BESS001,2,1,4,2036,-0.1659
KENYA,BESS001,2,1,4,2037,-0.1462
KENYA,BESS001,2,1,4,2038,0.0097
KENYA,BESS001,2,1,4,2039,-0.0639
KENYA,BESS001,2,1,4,2040,-0.0207
KENYA,BESS001,2,1,4,2041,-0.1486
KENYA,BESS001,2,1,4,2042,-0.1486
KENYA,BESS001,2,1,4,2043,-0.2771
KENYA,BESS001,2,1,4,2044,-0.3488
KENYA,BESS001,2,1,4,2045,-0.3368
KENYA,BESS001,2,1,4,2046,-0.2984
KENYA,BESS001,2,1,4,2047,-0.3216
KENYA,BESS001,2,1,4,2048,-0.4517
KENYA,BESS001,2,1,4,2049,0.0111
KENYA,BESS001,2,1,4,2050,-0.0963
KENYA,BESS001,2,1,5,2025,0.006
KENYA,BESS001,2,1,5,2026,0.0084
KENYA,BESS001,2,1,5,2027,0.0142
KENYA,BESS001,2,1,5,2028,-0.0071
KENYA,BESS001,2,1,5,2029,-0.0042
KENYA,BESS001,2,1,5,2030,0.024
KENYA,BESS001,2,1,5,2031,0.0365
KENYA,BESS001,2,1,5,2032,0.0348
KENYA,BESS001,2,1,5,2033,-0.0148
KENYA,BESS001,2,1,5,2034,-0.0943
KENYA,BESS001,2,1,5,2035,-0.0997
KENYA,BESS001,2,1,5,2036,-0.0833
KENYA,BESS001,2,1,5,2037,-0.0735
KENYA,BESS001,2,1,5,2038,-0.0457
KENYA,BESS001,2,1,5,2039,-0.0321
KENYA,BESS001,2,1,5,2040,-0.0104
KENYA,BESS001,2,1,5,2041,-0.0747
KENYA,BESS001,2,1,5,2042,-0.0747
KENYA,BESS001,2,1,5,2043,-0.1393
KENYA,BESS001,2,1,5,2044,-0.1753
KENYA,BESS001,2,1,5,2045,-0.2321
KENYA,BESS001,2,1,5,2046,-0.2627
KENYA,BESS001,2,1,5,2047,-0.313
