r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,2,6,2041,-7.4662
KENYA,BESS001,2,2,6,2042,-7.4662
KENYA,BESS001,2,2,6,2043,-13.9256
KENYA,BESS001,2,2,6,2044,-17.5286
KENYA,BESS001,2,2,6,2045,-23.2115
KENYA,BESS001,2,2,6,2046,-26.2658
KENYA,BESS001,2,2,6,2047,-31.3047
KENYA,BESS001,2,2,6,2048,-31.188
KENYA,BESS001,2,2,6,2049,-31.188
KENYA,BESS001,2,2,6,2050,-30.2628
KENYA,BESS001,3,1,1,2026,-0.5577
KENYA,BESS001,3,1,1,2027,-0.952
KENYA,BESS001,3,1,1,2028,-0.354
KENYA,BESS001,3,1,1,2029,-5.3412
KENYA,BESS001,3,1,1,2033,-5.5469
KENYA,BESS001,3,1,1,2034,-4.2026
KENYA,BESS001,3,1,1,2035,-2.3413
KENYA,BESS001,3,1,1,2036,-1.0798
KENYA,BESS001,3,1,1,2037,-7.3488
KENYA,BESS001,3,1,1,2038,-4.5702
KENYA,BESS001,3,1,1,2039,-0.137
KENYA,BESS001,3,1,1,2040,-1.0419
KENYA,BESS001,3,1,1,2042,-4.9521
KENYA,BESS001,3,1,1,2043,-13.9256
KENYA,BESS001,3,1,1,2044,-17.5286
KENYA,BESS001,3,1,1,2045,-23.2115
KENYA,BESS001,3,1,1,2046,-26.2658
KENYA,BESS001,3,1,1,2047,-23.5301
KENYA,BESS001,3,1,1,2048,-31.188
KENYA,BESS001,3,1,1,2049,-25.7294
KENYA,BESS001,3,1,2,2025,0.6231
KENYA,BESS001,3,1,2,2026,2.2568
KENYA,BESS001,3,1,2,2027,3.2428
KENYA,BESS001,3,1,2,2028,2.801
KENYA,BESS001,3,1,2,2029,3.5998
KENYA,BESS001,3,1,2,2030,0.3617
KENYA,BESS001,3,1,2,2031,0.0431
KENYA,BESS001,3,1,2,2032,10.5917
KENYA,BESS001,3,1,2,2033,10.5917
KENYA,BESS001,3,1,2,2034,8.0813
KENYA,BESS001,3,1,2,2035,3.3239
KENYA,BESS001,3,1,2,2036,8.3349
KENYA,BESS001,3,1,2,2037,7.3488
KENYA,BESS001,3,1,2,2038,3.1452
KENYA,BESS001,3,1,2,2039,3.2101
KENYA,BESS001,3,1,2,2040,1.0419
KENYA,BESS001,3,1,2,2041,7.4662
KENYA,BESS001,3,1,2,2042,7.4662
KENYA,BESS001,3,1,2,2043,13.9256
KENYA,BESS001,3,1,2,2044,17.5286
KENYA,BESS001,3,1,2,2045,20.8566
KENYA,BESS001,3,1,2,2046,19.9152
KENYA,BESS001,3,1,2,2047,21.0254
KENYA,BESS001,3,1,2,2048,27.3168
KENYA,BESS001,3,1,2,2049,24.2466
KENYA,BESS001,3,1,2,2050,30.2628
