r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINWND,1,2043,40.1009
KENYA,MINWND,1,2044,50.4209
KENYA,MINWND,1,2045,63.4785
KENYA,MINWND,1,2046,79.5503
KENYA,MINWND,1,2047,100.8443
KENYA,MINWND,1,2048,127.992
KENYA,MINWND,1,2049,160.7466
KENYA,MINWND,1,2050,199.4283
KENYA,PWRBIO001,1,2019,0.0315
KENYA,PWRBIO001,1,2020,0.0315
KENYA,PWRBIO001,1,2021,0.0315
KENYA,PWRBIO001,1,2022,0.0315
KENYA,PWRBIO001,1,2023,0.0536
KENYA,PWRBIO001,1,2024,0.0536
KENYA,PWRBIO001,1,2025,0.0536
KENYA,PWRBIO001,1,2026,0.2112
KENYA,PWRBIO001,1,2027,0.2112
KENYA,PWRBIO001,1,2028,0.3374
KENYA,PWRBIO001,1,2029,0.3374
KENYA,PWRBIO001,1,2030,1.0972
KENYA,PWRBIO001,1,2031,1.4125
KENYA,PWRBIO001,1,2032,1.5828
KENYA,PWRBIO001,1,2033,1.6301
KENYA,PWRBIO001,1,2034,1.7247
KENYA,PWRBIO001,1,2035,1.7294
KENYA,PWRBIO001,1,2036,1.8697
KENYA,PWRBIO001,1,2037,2.01
KENYA,PWRBIO001,1,2038,2.1503
KENYA,PWRBIO001,1,2039,2.2906
KENYA,PWRBIO001,1,2040,2.4309
KENYA,PWRBIO001,1,2041,2.5712
KENYA,PWRBIO001,1,2042,2.7116
KENYA,PWRBIO001,1,2043,2.8519
KENYA,PWRBIO001,1,2044,2.9922
KENYA,PWRBIO001,1,2045,3.1325
KENYA,PWRBIO001,1,2046,3.2728
KENYA,PWRBIO001,1,2047,3.4131
KENYA,PWRBIO001,1,2048,3.4131
KENYA,PWRBIO001,1,2049,3.4131
KENYA,PWRBIO001,1,2050,3.4131
KENYA,PWRDIST,1,2019,45.2992
KENYA,PWRDIST,1,2020,46.0963
KENYA,PWRDIST,1,2021,48.1497
KENYA,PWRDIST,1,2022,49.7134
KENYA,PWRDIST,1,2023,51.0728
KENYA,PWRDIST,1,2024,52.7433
KENYA,PWRDIST,1,2025,54.5992
KENYA,PWRDIST,1,2026,59.1765
KENYA,PWRDIST,1,2027,64.4035
KENYA,PWRDIST,1,2028,70.2212
KENYA,PWRDIST,1,2029,76.5111
KENYA,PWRDIST,1,2030,82.9551
KENYA,PWRDIST,1,2031,90.139
KENYA,PWRDIST,1,2032,98.1572
KENYA,PWRDIST,1,2033,106.7187
KENYA,PWRDIST,1,2034,116.1806
KENYA,PWRDIST,1,2035,126.4435
KENYA,PWRDIST,1,2036,137.7094
KENYA,PWRDIST,1,2037,150.3858
KENYA,PWRDIST,1,2038,164.2009
KENYA,PWRDIST,1,2039,179.2385
KENYA,PWRDIST,1,2040,195.6442
KENYA,PWRDIST,1,2041,213.5238
KENYA,PWRDIST,1,2042,231.2682
KENYA,PWRDIST,1,2043,250.123
KENYA,PWRDIST,1,2044,270.4645
KENYA,PWRDIST,1,2045,292.4678
KENYA,PWRDIST,1,2046,316.2387
KENYA,PWRDIST,1,2047,341.8836
KENYA,PWRDIST,1,2048,369.6253
KENYA,PWRDIST,1,2049,399.5958
KENYA,PWRDIST,1,2050,431.9279
KENYA,PWRGEO001,1,2019,0.4472
KENYA,PWRGEO001,1,2020,0.4472
KENYA,PWRGEO001,1,2021,0.4472
KENYA,PWRGEO001,1,2022,0.4472
KENYA,PWRGEO001,1,2023,0.4472
KENYA,PWRGEO002,1,2019,4.1736
KENYA,PWRGEO002,1,2020,4.1736
KENYA,PWRGEO002,1,2021,4.1736
KENYA,PWRGEO002,1,2022,4.1736
KENYA,PWRGEO002,1,2023,4.1736
KENYA,PWRGEO002,1,2024,4.1736
KENYA,PWRGEO002,1,2025,4.1736
KENYA,PWRGEO002,1,2026,4.1736
KENYA,PWRGEO002,1,2027,4.1736
