r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,3,2,3,2032,-0.0651
KENYA,BESS001,3,2,3,2033,-0.0651
KENYA,BESS001,3,2,3,2034,-0.0602
KENYA,BESS001,3,2,3,2044,-0.0321
KENYA,BESS001,3,2,3,2045,-0.0671
KENYA,BESS001,3,2,3,2046,-0.1153
KENYA,BESS001,3,2,3,2047,-0.1744
KENYA,BESS001,3,2,3,2048,-0.2259
KENYA,BESS001,3,2,3,2049,-0.2776
KENYA,BESS001,3,2,3,2050,-0.3735
KENYA,BESS001,3,2,4,2024,-0.0033
KENYA,BESS001,3,2,4,2025,-0.0114
KENYA,BESS001,3,2,4,2026,-0.0433
KENYA,BESS001,3,2,4,2027,-0.0433
KENYA,BESS001,3,2,4,2028,-0.0433
KENYA,BESS001,3,2,4,2029,-0.0433
KENYA,BESS001,3,2,4,2030,-0.0433
KENYA,BESS001,3,2,4,2031,-0.0433
KENYA,BESS001,3,2,4,2032,-0.0433
KENYA,BESS001,3,2,4,2033,-0.0433
KENYA,BESS001,3,2,4,2034,-0.04
KENYA,BESS001,3,2,4,2044,-0.0205
KENYA,BESS001,3,2,4,2045,-0.0446
KENYA,BESS001,3,2,4,2046,-0.0767
KENYA,BESS001,3,2,4,2047,-0.116
KENYA,BESS001,3,2,4,2048,-0.1503
KENYA,BESS001,3,2,4,2049,-0.1847
KENYA,BESS001,3,2,4,2050,-0.1898
KENYA,BESS001,3,2,5,2024,-0.0001
KENYA,BESS001,3,2,5,2025,-0.0022
KENYA,BESS001,3,2,5,2026,-0.0115
KENYA,BESS001,3,2,5,2027,-0.0156
KENYA,BESS001,3,2,5,2028,0.0028
KENYA,BESS001,3,2,5,2029,0.011
KENYA,BESS001,3,2,5,2030,0.008
KENYA,BESS001,3,2,5,2031,-0.0205
KENYA,BESS001,3,2,5,2032,-0.0197
KENYA,BESS001,3,2,5,2033,-0.0144
KENYA,BESS001,3,2,5,2034,-0.019
KENYA,BESS001,3,2,5,2044,-0.0036
KENYA,BESS001,3,2,5,2045,-0.0042
KENYA,BESS001,3,2,5,2046,-0.0064
KENYA,BESS001,3,2,5,2047,-0.0116
KENYA,BESS001,3,2,5,2048,-0.0159
KENYA,BESS001,3,2,5,2049,-0.024
KENYA,BESS001,3,2,5,2050,-0.0538
KENYA,BESS001,3,2,6,2024,0.0024
KENYA,BESS001,3,2,6,2025,0.0324
KENYA,BESS001,3,2,6,2026,0.0324
KENYA,BESS001,3,2,6,2027,0.0324
KENYA,BESS001,3,2,6,2028,0.0324
KENYA,BESS001,3,2,6,2029,0.0324
KENYA,BESS001,3,2,6,2030,0.0324
KENYA,BESS001,3,2,6,2031,0.0324
KENYA,BESS001,3,2,6,2032,0.0324
KENYA,BESS001,3,2,6,2033,0.0324
KENYA,BESS001,3,2,6,2034,0.03
KENYA,BESS001,3,2,6,2044,0.016
KENYA,BESS001,3,2,6,2045,0.0334
KENYA,BESS001,3,2,6,2046,0.0574
KENYA,BESS001,3,2,6,2047,0.0868
KENYA,BESS001,3,2,6,2048,0.1125
KENYA,BESS001,3,2,6,2049,0.1382
KENYA,BESS001,3,2,6,2050,0.186
