r,l,t,m,y,RateOfActivity
KENYA,TS32,BESS_TECH,2,2037,0.8305
KENYA,TS33,BESS_TECH,2,2037,1.1806
KENYA,TS35,BESS_TECH,2,2037,0.5175
KENYA,TS38,BESS_TECH,2,2037,1.1806
KENYA,TS40,BESS_TECH,2,2037,1.1806
KENYA,TS44,BESS_TECH,2,2037,1.1806
KENYA,TS45,BESS_TECH,2,2037,1.1806
KENYA,TS46,BESS_TECH,2,2037,0.4412
KENYA,TS04,BESS_TECH,1,2038,0.6353
KENYA,TS05,BESS_TECH,1,2038,1.1806
KENYA,TS10,BESS_TECH,1,2038,1.1806
KENYA,TS13,BESS_TECH,1,2038,0.0129
KENYA,TS15,BESS_TECH,1,2038,0.2038
KENYA,TS18,BESS_TECH,1,2038,1.1806
KENYA,TS19,BESS_TECH,1,2038,1.1806
KENYA,TS21,BESS_TECH,1,2038,0.3993
KENYA,TS23,BESS_TECH,1,2038,1.1806
KENYA,TS26,BESS_TECH,1,2038,1.1806
KENYA,TS29,BESS_TECH,1,2038,1.1806
KENYA,TS30,BESS_TECH,1,2038,1.1806
KENYA,TS31,BESS_TECH,1,2038,1.1806
KENYA,TS36,BESS_TECH,1,2038,1.1806
KENYA,TS39,BESS_TECH,1,2038,0.3993
KENYA,TS41,BESS_TECH,1,2038,1.1806
KENYA,TS43,BESS_TECH,1,2038,0.3109
KENYA,TS47,BESS_TECH,1,2038,1.1806
KENYA,TS48,BESS_TECH,1,2038,0.1768
KENYA,TS02,BESS_TECH,2,2038,0.3528
KENYA,TS03,BESS_TECH,2,2038,0.6527
KENYA,TS09,BESS_TECH,2,2038,0.3993
KENYA,TS11,BESS_TECH,2,2038,1.1806
KENYA,TS16,BESS_TECH,2,2038,1.1806
KENYA,TS17,BESS_TECH,2,2038,0.0247
KENYA,TS20,BESS_TECH,2,2038,1.1806
KENYA,TS22,BESS_TECH,2,2038,1.1806
KENYA,TS24,BESS_TECH,2,2038,1.1806
KENYA,TS27,BESS_TECH,2,2038,1.0615
KENYA,TS28,BESS_TECH,2,2038,0.7663
KENYA,TS32,BESS_TECH,2,2038,0.382
KENYA,TS33,BESS_TECH,2,2038,1.1806
KENYA,TS35,BESS_TECH,2,2038,1.1806
KENYA,TS40,BESS_TECH,2,2038,1.1806
KENYA,TS46,BESS_TECH,2,2038,1.1806
