r,l,f,y,Demand
KENYA,TS04,RESELC,2033,0.8803
KENYA,TS04,RESELC,2034,0.9303
KENYA,TS04,RESELC,2035,0.9828
KENYA,TS04,RESELC,2036,1.0363
KENYA,TS04,RESELC,2037,1.0963
KENYA,TS04,RESELC,2038,1.159
KENYA,TS04,RESELC,2039,1.2255
KENYA,TS04,RESELC,2040,1.2959
KENYA,TS04,RESELC,2041,1.3702
KENYA,TS04,RESELC,2042,1.4475
KENYA,TS04,RESELC,2043,1.5298
KENYA,TS04,RESELC,2044,1.6168
KENYA,TS04,RESELC,2045,1.7087
KENYA,TS04,RESELC,2046,1.8058
KENYA,TS04,RESELC,2047,1.9085
KENYA,TS04,RESELC,2048,2.017
KENYA,TS04,RESELC,2049,2.1317
KENYA,TS04,RESELC,2050,2.2529
KENYA,TS05,COMELC,2019,0.1014
KENYA,TS05,COMELC,2020,0.1032
KENYA,TS05,COMELC,2021,0.1079
KENYA,TS05,COMELC,2022,0.1115
KENYA,TS05,COMELC,2023,0.1149
KENYA,TS05,COMELC,2024,0.1188
KENYA,TS05,COMELC,2025,0.1231
KENYA,TS05,COMELC,2026,0.1276
KENYA,TS05,COMELC,2027,0.135
KENYA,TS05,COMELC,2028,0.1428
KENYA,TS05,COMELC,2029,0.1517
KENYA,TS05,COMELC,2030,0.1613
KENYA,TS05,COMELC,2031,0.1703
KENYA,TS05,COMELC,2032,0.1802
KENYA,TS05,COMELC,2033,0.1904
KENYA,TS05,COMELC,2034,0.2012
KENYA,TS05,COMELC,2035,0.2125
KENYA,TS05,COMELC,2036,0.2241
KENYA,TS05,COMELC,2037,0.2371
KENYA,TS05,COMELC,2038,0.2506
KENYA,TS05,COMELC,2039,0.265
KENYA,TS05,COMELC,2040,0.2802
KENYA,TS05,COMELC,2041,0.2963
KENYA,TS05,COMELC,2042,0.313
KENYA,TS05,COMELC,2043,0.3308
KENYA,TS05,COMELC,2044,0.3496
KENYA,TS05,COMELC,2045,0.3695
KENYA,TS05,COMELC,2046,0.3905
KENYA,TS05,COMELC,2047,0.4127
KENYA,TS05,COMELC,2048,0.4362
KENYA,TS05,COMELC,2049,0.461
KENYA,TS05,COMELC,2050,0.4872
KENYA,TS05,INDELC,2019,0.3493
KENYA,TS05,INDELC,2020,0.3554
KENYA,TS05,INDELC,2021,0.3716
KENYA,TS05,INDELC,2022,0.384
KENYA,TS05,INDELC,2023,0.3957
KENYA,TS05,INDELC,2024,0.4093
KENYA,TS05,INDELC,2025,0.4241
KENYA,TS05,INDELC,2026,0.4396
KENYA,TS05,INDELC,2027,0.465
KENYA,TS05,INDELC,2028,0.4919
KENYA,TS05,INDELC,2029,0.5226
KENYA,TS05,INDELC,2030,0.5556
KENYA,TS05,INDELC,2031,0.5866
KENYA,TS05,INDELC,2032,0.621
KENYA,TS05,INDELC,2033,0.6558
KENYA,TS05,INDELC,2034,0.6931
KENYA,TS05,INDELC,2035,0.7322
KENYA,TS05,INDELC,2036,0.772
KENYA,TS05,INDELC,2037,0.8168
KENYA,TS05,INDELC,2038,0.8635
KENYA,TS05,INDELC,2039,0.913
KENYA,TS05,INDELC,2040,0.9655
KENYA,TS05,INDELC,2041,1.0208
KENYA,TS05,INDELC,2042,1.0784
KENYA,TS05,INDELC,2043,1.1397
KENYA,TS05,INDELC,2044,1.2045
KENYA,TS05,INDELC,2045,1.273
KENYA,TS05,INDELC,2046,1.3454
KENYA,TS05,INDELC,2047,1.4218
KENYA,TS05,INDELC,2048,1.5027
KENYA,TS05,INDELC,2049,1.5881
KENYA,TS05,INDELC,2050,1.6784
KENYA,TS05,RESELC,2019,0.2234
KENYA,TS05,RESELC,2020,0.2273
KENYA,TS05,RESELC,2021,0.2376
KENYA,TS05,RESELC,2022,0.2456
KENYA,TS05,RESELC,2023,0.2531
KENYA,TS05,RESELC,2024,0.2618
KENYA,TS05,RESELC,2025,0.2712
KENYA,TS05,RESELC,2026,0.2811
KENYA,TS05,RESELC,2027,0.2974
KENYA,TS05,RESELC,2028,0.3146
KENYA,TS05,RESELC,2029,0.3342
KENYA,TS05,RESELC,2030,0.3553
KENYA,TS05,RESELC,2031,0.3752
KENYA,TS05,RESELC,2032,0.3971
KENYA,TS05,RESELC,2033,0.4194
KENYA,TS05,RESELC,2034,0.4432
KENYA,TS05,RESELC,2035,0.4683
KENYA,TS05,RESELC,2036,0.4938
KENYA,TS05,RESELC,2037,0.5224
KENYA,TS05,RESELC,2038,0.5522
KENYA,TS05,RESELC,2039,0.5839
KENYA,TS05,RESELC,2040,0.6175
KENYA,TS05,RESELC,2041,0.6529
KENYA,TS05,RESELC,2042,0.6897
KENYA,TS05,RESELC,2043,0.7289
KENYA,TS05,RESELC,2044,0.7703
KENYA,TS05,RESELC,2045,0.8141
KENYA,TS05,RESELC,2046,0.8604
KENYA,TS05,RESELC,2047,0.9093
KENYA,TS05,RESELC,2048,0.961
KENYA,TS05,RESELC,2049,1.0157
KENYA,TS05,RESELC,2050,1.0734
KENYA,TS06,COMELC,2019,0.1114
KENYA,TS06,COMELC,2020,0.1134
KENYA,TS06,COMELC,2021,0.1185
KENYA,TS06,COMELC,2022,0.1225
KENYA,TS06,COMELC,2023,0.1262
KENYA,TS06,COMELC,2024,0.1305
KENYA,TS06,COMELC,2025,0.1352
KENYA,TS06,COMELC,2026,0.1402
KENYA,TS06,COMELC,2027,0.1483
KENYA,TS06,COMELC,2028,0.1569
KENYA,TS06,COMELC,2029,0.1667
KENYA,TS06,COMELC,2030,0.1772
KENYA,TS06,COMELC,2031,0.1871
KENYA,TS06,COMELC,2032,0.198
KENYA,TS06,COMELC,2033,0.2092
KENYA,TS06,COMELC,2034,0.221
KENYA,TS06,COMELC,2035,0.2335
KENYA,TS06,COMELC,2036,0.2462
KENYA,TS06,COMELC,2037,0.2605
KENYA,TS06,COMELC,2038,0.2754
KENYA,TS06,COMELC,2039,0.2912
KENYA,TS06,COMELC,2040,0.3079
KENYA,TS06,COMELC,2041,0.3256
KENYA,TS06,COMELC,2042,0.3439
KENYA,TS06,COMELC,2043,0.3635
KENYA,TS06,COMELC,2044,0.3842
KENYA,TS06,COMELC,2045,0.406
KENYA,TS06,COMELC,2046,0.4291
KENYA,TS06,COMELC,2047,0.4535
KENYA,TS06,COMELC,2048,0.4793
KENYA,TS06,COMELC,2049,0.5065
KENYA,TS06,COMELC,2050,0.5353
KENYA,TS06,INDELC,2019,0.3838
KENYA,TS06,INDELC,2020,0.3905
KENYA,TS06,INDELC,2021,0.4083
KENYA,TS06,INDELC,2022,0.4219
KENYA,TS06,INDELC,2023,0.4348
KENYA,TS06,INDELC,2024,0.4497
KENYA,TS06,INDELC,2025,0.4659
KENYA,TS06,INDELC,2026,0.483
KENYA,TS06,INDELC,2027,0.5109
KENYA,TS06,INDELC,2028,0.5405
KENYA,TS06,INDELC,2029,0.5742
KENYA,TS06,INDELC,2030,0.6105
KENYA,TS06,INDELC,2031,0.6446
KENYA,TS06,INDELC,2032,0.6823
KENYA,TS06,INDELC,2033,0.7206
KENYA,TS06,INDELC,2034,0.7615
KENYA,TS06,INDELC,2035,0.8045
KENYA,TS06,INDELC,2036,0.8483
KENYA,TS06,INDELC,2037,0.8974
KENYA,TS06,INDELC,2038,0.9487
KENYA,TS06,INDELC,2039,1.0032
