r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS17,2048,9.2457
KENYA,BESS_TECH,TS17,2049,9.4235
KENYA,BESS_TECH,TS17,2050,12.1771
KENYA,BESS_TECH,TS18,2024,0.1385
KENYA,BESS_TECH,TS18,2026,0.1018
KENYA,BESS_TECH,TS18,2029,2.7221
KENYA,BESS_TECH,TS18,2030,1.3512
KENYA,BESS_TECH,TS18,2031,2.7221
KENYA,BESS_TECH,TS18,2032,2.7221
KENYA,BESS_TECH,TS18,2034,1.9625
KENYA,BESS_TECH,TS18,2037,1.1806
KENYA,BESS_TECH,TS18,2038,1.1806
KENYA,BESS_TECH,TS18,2039,0.7915
KENYA,BESS_TECH,TS18,2040,1.8923
KENYA,BESS_TECH,TS18,2041,2.0437
KENYA,BESS_TECH,TS18,2042,2.0437
KENYA,BESS_TECH,TS18,2045,6.7335
KENYA,BESS_TECH,TS18,2046,6.6423
KENYA,BESS_TECH,TS18,2047,3.2054
KENYA,BESS_TECH,TS18,2048,5.1896
KENYA,BESS_TECH,TS18,2049,9.4235
KENYA,BESS_TECH,TS18,2050,11.843
KENYA,BESS_TECH,TS19,2024,0.0693
KENYA,BESS_TECH,TS19,2025,2.7221
KENYA,BESS_TECH,TS19,2026,2.1132
KENYA,BESS_TECH,TS19,2027,2.7221
KENYA,BESS_TECH,TS19,2028,2.7221
KENYA,BESS_TECH,TS19,2029,0.3713
KENYA,BESS_TECH,TS19,2030,0.8373
KENYA,BESS_TECH,TS19,2031,2.7221
KENYA,BESS_TECH,TS19,2032,2.7221
KENYA,BESS_TECH,TS19,2033,2.7221
KENYA,BESS_TECH,TS19,2034,2.5174
KENYA,BESS_TECH,TS19,2037,1.1806
KENYA,BESS_TECH,TS19,2038,1.1806
KENYA,BESS_TECH,TS19,2039,0.3916
KENYA,BESS_TECH,TS19,2040,1.8923
KENYA,BESS_TECH,TS19,2041,2.0437
KENYA,BESS_TECH,TS19,2042,2.0437
KENYA,BESS_TECH,TS19,2043,0.5115
KENYA,BESS_TECH,TS19,2044,0.045
KENYA,BESS_TECH,TS19,2045,6.7335
KENYA,BESS_TECH,TS19,2046,2.3584
KENYA,BESS_TECH,TS19,2047,9.4235
KENYA,BESS_TECH,TS19,2048,9.4235
KENYA,BESS_TECH,TS19,2049,9.4235
KENYA,BESS_TECH,TS19,2050,12.1771
KENYA,BESS_TECH,TS20,2024,0.2048
KENYA,BESS_TECH,TS20,2025,2.7221
KENYA,BESS_TECH,TS20,2026,2.7221
KENYA,BESS_TECH,TS20,2027,2.7221
KENYA,BESS_TECH,TS20,2028,2.7221
KENYA,BESS_TECH,TS20,2029,2.7221
KENYA,BESS_TECH,TS20,2030,2.7221
KENYA,BESS_TECH,TS20,2031,2.7221
KENYA,BESS_TECH,TS20,2032,2.7221
KENYA,BESS_TECH,TS20,2033,2.7221
KENYA,BESS_TECH,TS20,2034,2.5174
KENYA,BESS_TECH,TS20,2037,1.1806
KENYA,BESS_TECH,TS20,2038,1.1806
KENYA,BESS_TECH,TS20,2039,1.1806
KENYA,BESS_TECH,TS20,2040,1.8923
KENYA,BESS_TECH,TS20,2041,2.0437
KENYA,BESS_TECH,TS20,2042,2.0437
KENYA,BESS_TECH,TS20,2043,2.0437
KENYA,BESS_TECH,TS20,2044,2.0437
KENYA,BESS_TECH,TS20,2045,6.7335
KENYA,BESS_TECH,TS20,2046,7.7099
KENYA,BESS_TECH,TS20,2047,9.4235
KENYA,BESS_TECH,TS20,2048,9.4235
KENYA,BESS_TECH,TS20,2049,9.4235
KENYA,BESS_TECH,TS20,2050,12.1771
KENYA,BESS_TECH,TS21,2024,0.2048
KENYA,BESS_TECH,TS21,2025,2.2148
KENYA,BESS_TECH,TS21,2027,0.9443
KENYA,BESS_TECH,TS21,2028,0.7917
KENYA,BESS_TECH,TS21,2029,2.2844
KENYA,BESS_TECH,TS21,2030,2.4834
KENYA,BESS_TECH,TS21,2031,2.7221
KENYA,BESS_TECH,TS21,2032,0.9457
KENYA,BESS_TECH,TS21,2033,1.705
KENYA,BESS_TECH,TS21,2034,0.2778
KENYA,BESS_TECH,TS21,2037,0.3993
KENYA,BESS_TECH,TS21,2038,0.3993
KENYA,BESS_TECH,TS21,2039,1.1806
KENYA,BESS_TECH,TS21,2040,1.8923
KENYA,BESS_TECH,TS21,2041,2.0437
KENYA,BESS_TECH,TS21,2042,1.0739
KENYA,BESS_TECH,TS21,2043,2.0437
KENYA,BESS_TECH,TS21,2044,2.0437
KENYA,BESS_TECH,TS21,2045,1.8409
KENYA,BESS_TECH,TS21,2046,7.7099
KENYA,BESS_TECH,TS21,2047,3.872
KENYA,BESS_TECH,TS21,2048,4.5355
KENYA,BESS_TECH,TS21,2049,6.8058
KENYA,BESS_TECH,TS21,2050,10.2569
KENYA,BESS_TECH,TS22,2024,0.2048
KENYA,BESS_TECH,TS22,2025,2.7221
KENYA,BESS_TECH,TS22,2026,0.461
KENYA,BESS_TECH,TS22,2027,2.4727
KENYA,BESS_TECH,TS22,2028,2.3771
KENYA,BESS_TECH,TS22,2029,1.2628
KENYA,BESS_TECH,TS22,2030,2.246
KENYA,BESS_TECH,TS22,2031,2.663
KENYA,BESS_TECH,TS22,2032,2.7221
KENYA,BESS_TECH,TS22,2033,2.7221
KENYA,BESS_TECH,TS22,2034,1.6693
KENYA,BESS_TECH,TS22,2037,1.1806
KENYA,BESS_TECH,TS22,2038,1.1806
KENYA,BESS_TECH,TS22,2039,1.1692
KENYA,BESS_TECH,TS22,2040,1.8923
KENYA,BESS_TECH,TS22,2041,2.0437
KENYA,BESS_TECH,TS22,2042,2.0437
KENYA,BESS_TECH,TS22,2043,1.778
KENYA,BESS_TECH,TS22,2044,1.0885
KENYA,BESS_TECH,TS22,2045,5.2421
KENYA,BESS_TECH,TS22,2046,5.6807
KENYA,BESS_TECH,TS22,2047,6.953
KENYA,BESS_TECH,TS22,2048,7.2839
KENYA,BESS_TECH,TS22,2049,8.0138
