r,t,y,TotalCapacityAnnual
KENYA,MINSOL,2032,9999.0
KENYA,MINSOL,2033,9999.0
KENYA,MINSOL,2034,9999.0
KENYA,MINSOL,2035,9999.0
KENYA,MINSOL,2036,9999.0
KENYA,MINSOL,2037,9999.0
KENYA,MINSOL,2038,9999.0
KENYA,MINSOL,2039,9999.0
KENYA,MINSOL,2040,9999.0
KENYA,MINSOL,2041,9999.0
KENYA,MINSOL,2042,9999.0
KENYA,MINSOL,2043,9999.0
KENYA,MINSOL,2044,9999.0
KENYA,MINSOL,2045,9999.0
KENYA,MINSOL,2046,9999.0
KENYA,MINSOL,2047,9999.0
KENYA,MINSOL,2048,9999.0
KENYA,MINSOL,2049,9999.0
KENYA,MINSOL,2050,9999.0
KENYA,MINWND,2019,9999.0
KENYA,MINWND,2020,9999.0
KENYA,MINWND,2021,9999.0
KENYA,MINWND,2022,9999.0
KENYA,MINWND,2023,9999.0
KENYA,MINWND,2024,9999.0
KENYA,MINWND,2025,9999.0
KENYA,MINWND,2026,9999.0
KENYA,MINWND,2027,9999.0
KENYA,MINWND,2028,9999.0
KENYA,MINWND,2029,9999.0
KENYA,MINWND,2030,9999.0
KENYA,MINWND,2031,9999.0
KENYA,MINWND,2032,9999.0
KENYA,MINWND,2033,9999.0
KENYA,MINWND,2034,9999.0
KENYA,MINWND,2035,9999.0
KENYA,MINWND,2036,9999.0
KENYA,MINWND,2037,9999.0
KENYA,MINWND,2038,9999.0
KENYA,MINWND,2039,9999.0
KENYA,MINWND,2040,9999.0
KENYA,MINWND,2041,9999.0
KENYA,MINWND,2042,9999.0
KENYA,MINWND,2043,9999.0
KENYA,MINWND,2044,9999.0
KENYA,MINWND,2045,9999.0
KENYA,MINWND,2046,9999.0
KENYA,MINWND,2047,9999.0
KENYA,MINWND,2048,9999.0
KENYA,MINWND,2049,9999.0
KENYA,MINWND,2050,9999.0
KENYA,PWRBIO001,2019,0.002
KENYA,PWRBIO001,2020,0.002
KENYA,PWRBIO001,2021,0.002
KENYA,PWRBIO001,2022,0.002
KENYA,PWRBIO001,2023,0.0034
KENYA,PWRBIO001,2024,0.0034
KENYA,PWRBIO001,2025,0.0034
KENYA,PWRBIO001,2026,0.0134
KENYA,PWRBIO001,2027,0.0134
KENYA,PWRBIO001,2028,0.0214
KENYA,PWRBIO001,2029,0.0214
KENYA,PWRBIO001,2030,0.0696
KENYA,PWRBIO001,2031,0.0896
KENYA,PWRBIO001,2032,0.1004
KENYA,PWRBIO001,2033,0.1034
KENYA,PWRBIO001,2034,0.1094
KENYA,PWRBIO001,2035,0.1097
KENYA,PWRBIO001,2036,0.1186
KENYA,PWRBIO001,2037,0.1186
KENYA,PWRBIO001,2038,0.1364
KENYA,PWRBIO001,2039,0.1364
KENYA,PWRBIO001,2040,0.1364
KENYA,PWRBIO001,2041,0.1364
KENYA,PWRBIO001,2042,0.172
KENYA,PWRBIO001,2043,0.1809
KENYA,PWRBIO001,2044,0.1898
KENYA,PWRBIO001,2045,0.1987
KENYA,PWRBIO001,2046,0.2076
KENYA,PWRBIO001,2047,0.2165
KENYA,PWRBIO001,2048,0.2165
KENYA,PWRBIO001,2049,0.2165
KENYA,PWRBIO001,2050,0.2165
KENYA,PWRDIST,2019,1.8715
KENYA,PWRDIST,2020,1.9044
KENYA,PWRDIST,2021,1.9892
KENYA,PWRDIST,2022,2.0537
KENYA,PWRDIST,2023,2.1104
KENYA,PWRDIST,2024,2.1795
KENYA,PWRDIST,2025,2.2561
KENYA,PWRDIST,2026,2.3236
KENYA,PWRDIST,2027,2.4509
KENYA,PWRDIST,2028,2.5901
KENYA,PWRDIST,2029,2.7472
KENYA,PWRDIST,2030,2.901
KENYA,PWRDIST,2031,3.0478
KENYA,PWRDIST,2032,3.2175
KENYA,PWRDIST,2033,3.3824
KENYA,PWRDIST,2034,3.5627
KENYA,PWRDIST,2035,3.7497
KENYA,PWRDIST,2036,3.9416
KENYA,PWRDIST,2037,4.172
KENYA,PWRDIST,2038,4.412
KENYA,PWRDIST,2039,4.6657
KENYA,PWRDIST,2040,4.9348
KENYA,PWRDIST,2041,5.2182
KENYA,PWRDIST,2042,5.5116
KENYA,PWRDIST,2043,5.8245
KENYA,PWRDIST,2044,6.1541
KENYA,PWRDIST,2045,6.5025
KENYA,PWRDIST,2046,6.8702
KENYA,PWRDIST,2047,7.2575
KENYA,PWRDIST,2048,7.6671
KENYA,PWRDIST,2049,8.0992
KENYA,PWRDIST,2050,8.5544
KENYA,PWRGEO001,2019,0.015
KENYA,PWRGEO001,2020,0.015
KENYA,PWRGEO001,2021,0.015
KENYA,PWRGEO001,2022,0.015
KENYA,PWRGEO001,2023,0.015
KENYA,PWRGEO002,2019,0.14
KENYA,PWRGEO002,2020,0.14
KENYA,PWRGEO002,2021,0.14
KENYA,PWRGEO002,2022,0.14
KENYA,PWRGEO002,2023,0.14
KENYA,PWRGEO002,2024,0.14
KENYA,PWRGEO002,2025,0.14
KENYA,PWRGEO002,2026,0.14
KENYA,PWRGEO002,2027,0.14
KENYA,PWRGEO002,2028,0.14
KENYA,PWRGEO002,2029,0.14
KENYA,PWRGEO002,2030,0.14
KENYA,PWRGEO002,2031,0.14
KENYA,PWRGEO002,2032,0.14
KENYA,PWRGEO002,2033,0.14
KENYA,PWRGEO002,2034,0.14
KENYA,PWRGEO002,2035,0.14
KENYA,PWRGEO002,2036,0.14
KENYA,PWRGEO002,2037,0.14
KENYA,PWRGEO002,2038,0.14
KENYA,PWRGEO002,2039,0.14
KENYA,PWRGEO002,2040,0.14
KENYA,PWRGEO003,2019,0.101
KENYA,PWRGEO003,2020,0.101
KENYA,PWRGEO003,2021,0.101
KENYA,PWRGEO003,2022,0.101
KENYA,PWRGEO003,2023,0.101
KENYA,PWRGEO003,2024,0.101
KENYA,PWRGEO003,2025,0.101
KENYA,PWRGEO003,2026,0.101
KENYA,PWRGEO003,2027,0.101
KENYA,PWRGEO003,2028,0.101
KENYA,PWRGEO004,2019,0.0638
KENYA,PWRGEO004,2020,0.0638
KENYA,PWRGEO004,2021,0.0638
KENYA,PWRGEO004,2022,0.0638
KENYA,PWRGEO004,2023,0.0638
KENYA,PWRGEO004,2024,0.0638
KENYA,PWRGEO004,2025,0.0638
KENYA,PWRGEO004,2026,0.0638
KENYA,PWRGEO004,2027,0.0638
KENYA,PWRGEO004,2028,0.0638
KENYA,PWRGEO004,2029,0.0638
