r,t,y,TotalCapacityAnnual
KENYA,MINWND,2028,9999.0
KENYA,MINWND,2029,9999.0
KENYA,MINWND,2030,9999.0
KENYA,MINWND,2031,9999.0
KENYA,MINWND,2032,9999.0
KENYA,MINWND,2033,9999.0
KENYA,MINWND,2034,9999.0
KENYA,MINWND,2035,9999.0
KENYA,MINWND,2036,9999.0
KENYA,MINWND,2037,9999.0
KENYA,MINWND,2038,9999.0
KENYA,MINWND,2039,9999.0
KENYA,MINWND,2040,9999.0
KENYA,MINWND,2041,9999.0
KENYA,MINWND,2042,9999.0
KENYA,MINWND,2043,9999.0
KENYA,MINWND,2044,9999.0
KENYA,MINWND,2045,9999.0
KENYA,MINWND,2046,9999.0
KENYA,MINWND,2047,9999.0
KENYA,MINWND,2048,9999.0
KENYA,MINWND,2049,9999.0
KENYA,MINWND,2050,9999.0
KENYA,PWRBIO001,2019,0.002
KENYA,PWRBIO001,2020,0.002
KENYA,PWRBIO001,2021,0.002
KENYA,PWRBIO001,2022,0.002
KENYA,PWRBIO001,2023,0.0034
KENYA,PWRBIO001,2024,0.0034
KENYA,PWRBIO001,2025,0.0034
KENYA,PWRBIO001,2026,0.0134
KENYA,PWRBIO001,2027,0.0134
KENYA,PWRBIO001,2028,0.0214
KENYA,PWRBIO001,2029,0.0214
KENYA,PWRBIO001,2030,0.0696
KENYA,PWRBIO001,2031,0.0896
KENYA,PWRBIO001,2032,0.1004
KENYA,PWRBIO001,2033,0.1034
KENYA,PWRBIO001,2034,0.1094
KENYA,PWRBIO001,2035,0.1097
KENYA,PWRBIO001,2036,0.1186
KENYA,PWRBIO001,2037,0.1275
KENYA,PWRBIO001,2038,0.1364
KENYA,PWRBIO001,2039,0.1453
KENYA,PWRBIO001,2040,0.1542
KENYA,PWRBIO001,2041,0.1631
KENYA,PWRBIO001,2042,0.172
KENYA,PWRBIO001,2043,0.1809
KENYA,PWRBIO001,2044,0.1898
KENYA,PWRBIO001,2045,0.1987
KENYA,PWRBIO001,2046,0.2076
KENYA,PWRBIO001,2047,0.2165
KENYA,PWRBIO001,2048,0.2254
KENYA,PWRBIO001,2049,0.2343
KENYA,PWRBIO001,2050,0.2432
KENYA,PWRDIST,2019,1.8715
KENYA,PWRDIST,2020,1.9044
KENYA,PWRDIST,2021,1.9892
KENYA,PWRDIST,2022,2.0537
KENYA,PWRDIST,2023,2.1104
KENYA,PWRDIST,2024,2.1795
KENYA,PWRDIST,2025,2.2561
KENYA,PWRDIST,2026,2.4469
KENYA,PWRDIST,2027,2.6635
KENYA,PWRDIST,2028,2.9039
KENYA,PWRDIST,2029,3.1641
KENYA,PWRDIST,2030,3.4327
KENYA,PWRDIST,2031,3.7313
KENYA,PWRDIST,2032,4.0636
KENYA,PWRDIST,2033,4.4194
KENYA,PWRDIST,2034,4.8118
KENYA,PWRDIST,2035,5.2377
KENYA,PWRDIST,2036,5.7048
KENYA,PWRDIST,2037,6.2283
KENYA,PWRDIST,2038,6.7989
KENYA,PWRDIST,2039,7.4199
KENYA,PWRDIST,2040,8.0975
KENYA,PWRDIST,2041,8.836
KENYA,PWRDIST,2042,9.5689
KENYA,PWRDIST,2043,10.3477
KENYA,PWRDIST,2044,11.1879
KENYA,PWRDIST,2045,12.0967
KENYA,PWRDIST,2046,13.0786
KENYA,PWRDIST,2047,14.1379
KENYA,PWRDIST,2048,15.2838
KENYA,PWRDIST,2049,16.5217
KENYA,PWRDIST,2050,17.8572
KENYA,PWRGEO001,2019,0.015
KENYA,PWRGEO001,2020,0.015
KENYA,PWRGEO001,2021,0.015
KENYA,PWRGEO001,2022,0.015
KENYA,PWRGEO001,2023,0.015
KENYA,PWRGEO002,2019,0.14
KENYA,PWRGEO002,2020,0.14
KENYA,PWRGEO002,2021,0.14
KENYA,PWRGEO002,2022,0.14
