r,l,t,m,y,RateOfActivity
KENYA,TS43,BESS_TECH,2,2035,2.1977
KENYA,TS46,BESS_TECH,2,2035,0.4195
KENYA,TS01,BESS_TECH,1,2036,3.7761
KENYA,TS06,BESS_TECH,1,2036,7.3364
KENYA,TS07,BESS_TECH,1,2036,0.5866
KENYA,TS12,BESS_TECH,1,2036,4.0217
KENYA,TS14,BESS_TECH,1,2036,5.0798
KENYA,TS15,BESS_TECH,1,2036,1.2362
KENYA,TS18,BESS_TECH,1,2036,7.3364
KENYA,TS19,BESS_TECH,1,2036,7.3364
KENYA,TS21,BESS_TECH,1,2036,7.3364
KENYA,TS26,BESS_TECH,1,2036,5.8714
KENYA,TS28,BESS_TECH,1,2036,1.1281
KENYA,TS29,BESS_TECH,1,2036,5.912
KENYA,TS30,BESS_TECH,1,2036,7.3364
KENYA,TS31,BESS_TECH,1,2036,7.3364
KENYA,TS36,BESS_TECH,1,2036,7.3364
KENYA,TS40,BESS_TECH,1,2036,7.1478
KENYA,TS41,BESS_TECH,1,2036,7.3364
KENYA,TS46,BESS_TECH,1,2036,0.4327
KENYA,TS47,BESS_TECH,1,2036,7.3364
KENYA,TS04,BESS_TECH,2,2036,7.3364
KENYA,TS05,BESS_TECH,2,2036,7.3364
KENYA,TS10,BESS_TECH,2,2036,0.1716
KENYA,TS11,BESS_TECH,2,2036,7.3364
KENYA,TS16,BESS_TECH,2,2036,7.3364
KENYA,TS17,BESS_TECH,2,2036,7.3364
KENYA,TS20,BESS_TECH,2,2036,7.3364
KENYA,TS22,BESS_TECH,2,2036,7.3364
KENYA,TS23,BESS_TECH,2,2036,7.0174
KENYA,TS24,BESS_TECH,2,2036,7.3364
KENYA,TS25,BESS_TECH,2,2036,2.0303
KENYA,TS27,BESS_TECH,2,2036,7.3364
KENYA,TS32,BESS_TECH,2,2036,6.2588
KENYA,TS33,BESS_TECH,2,2036,2.4177
KENYA,TS34,BESS_TECH,2,2036,5.2043
KENYA,TS35,BESS_TECH,2,2036,5.7267
KENYA,TS38,BESS_TECH,2,2036,0.7923
KENYA,TS39,BESS_TECH,2,2036,6.9205
KENYA,TS43,BESS_TECH,2,2036,2.7742
KENYA,TS01,BESS_TECH,1,2037,2.3065
KENYA,TS03,BESS_TECH,1,2037,5.1378
KENYA,TS09,BESS_TECH,1,2037,1.4205
KENYA,TS12,BESS_TECH,1,2037,4.5747
KENYA,TS13,BESS_TECH,1,2037,7.3364
KENYA,TS18,BESS_TECH,1,2037,0.2158
KENYA,TS19,BESS_TECH,1,2037,7.3364
KENYA,TS21,BESS_TECH,1,2037,7.3364
KENYA,TS26,BESS_TECH,1,2037,2.9442
KENYA,TS28,BESS_TECH,1,2037,1.8718
KENYA,TS29,BESS_TECH,1,2037,7.3364
KENYA,TS30,BESS_TECH,1,2037,7.3364
KENYA,TS31,BESS_TECH,1,2037,7.3364
KENYA,TS35,BESS_TECH,1,2037,6.6386
KENYA,TS36,BESS_TECH,1,2037,7.3364
KENYA,TS40,BESS_TECH,1,2037,4.735
KENYA,TS41,BESS_TECH,1,2037,7.3364
KENYA,TS47,BESS_TECH,1,2037,7.3364
KENYA,TS04,BESS_TECH,2,2037,7.3364
KENYA,TS05,BESS_TECH,2,2037,7.3364
KENYA,TS08,BESS_TECH,2,2037,2.4529
KENYA,TS11,BESS_TECH,2,2037,7.3364
KENYA,TS16,BESS_TECH,2,2037,7.3364
KENYA,TS17,BESS_TECH,2,2037,7.3364
KENYA,TS20,BESS_TECH,2,2037,7.3364
KENYA,TS22,BESS_TECH,2,2037,7.3364
KENYA,TS23,BESS_TECH,2,2037,7.0174
KENYA,TS24,BESS_TECH,2,2037,7.3364
KENYA,TS25,BESS_TECH,2,2037,5.8182
KENYA,TS27,BESS_TECH,2,2037,3.0698
KENYA,TS32,BESS_TECH,2,2037,7.3364
KENYA,TS33,BESS_TECH,2,2037,5.7365
KENYA,TS34,BESS_TECH,2,2037,5.6844
KENYA,TS37,BESS_TECH,2,2037,1.3771
KENYA,TS38,BESS_TECH,2,2037,7.3364
KENYA,TS39,BESS_TECH,2,2037,0.6392
KENYA,TS43,BESS_TECH,2,2037,0.7398
KENYA,TS46,BESS_TECH,2,2037,2.5746
KENYA,TS04,BESS_TECH,1,2038,4.4797
