r,l,f,y,Demand
KENYA,TS04,RESELC,2027,0.6775
KENYA,TS04,RESELC,2028,0.7391
KENYA,TS04,RESELC,2029,0.8064
KENYA,TS04,RESELC,2030,0.8798
KENYA,TS04,RESELC,2031,0.9598
KENYA,TS04,RESELC,2032,1.0472
KENYA,TS04,RESELC,2033,1.1425
KENYA,TS04,RESELC,2034,1.2464
KENYA,TS04,RESELC,2035,1.3598
KENYA,TS04,RESELC,2036,1.4836
KENYA,TS04,RESELC,2037,1.6186
KENYA,TS04,RESELC,2038,1.7659
KENYA,TS04,RESELC,2039,1.9265
KENYA,TS04,RESELC,2040,2.1018
KENYA,TS04,RESELC,2041,2.2931
KENYA,TS04,RESELC,2042,2.4837
KENYA,TS04,RESELC,2043,2.6862
KENYA,TS04,RESELC,2044,2.9052
KENYA,TS04,RESELC,2045,3.1421
KENYA,TS04,RESELC,2046,3.3983
KENYA,TS04,RESELC,2047,3.6755
KENYA,TS04,RESELC,2048,3.9752
KENYA,TS04,RESELC,2049,4.2993
KENYA,TS04,RESELC,2050,4.6499
KENYA,TS05,COMELC,2019,0.1014
KENYA,TS05,COMELC,2020,0.1032
KENYA,TS05,COMELC,2021,0.1079
KENYA,TS05,COMELC,2022,0.1115
KENYA,TS05,COMELC,2023,0.1149
KENYA,TS05,COMELC,2024,0.1188
KENYA,TS05,COMELC,2025,0.1231
KENYA,TS05,COMELC,2026,0.1343
KENYA,TS05,COMELC,2027,0.1465
KENYA,TS05,COMELC,2028,0.1598
KENYA,TS05,COMELC,2029,0.1744
KENYA,TS05,COMELC,2030,0.1903
KENYA,TS05,COMELC,2031,0.2076
KENYA,TS05,COMELC,2032,0.2265
KENYA,TS05,COMELC,2033,0.2471
KENYA,TS05,COMELC,2034,0.2695
KENYA,TS05,COMELC,2035,0.2941
KENYA,TS05,COMELC,2036,0.3208
KENYA,TS05,COMELC,2037,0.35
KENYA,TS05,COMELC,2038,0.3819
KENYA,TS05,COMELC,2039,0.4166
KENYA,TS05,COMELC,2040,0.4545
KENYA,TS05,COMELC,2041,0.4959
KENYA,TS05,COMELC,2042,0.5371
KENYA,TS05,COMELC,2043,0.5809
KENYA,TS05,COMELC,2044,0.6283
KENYA,TS05,COMELC,2045,0.6795
KENYA,TS05,COMELC,2046,0.7349
KENYA,TS05,COMELC,2047,0.7948
KENYA,TS05,COMELC,2048,0.8596
KENYA,TS05,COMELC,2049,0.9297
KENYA,TS05,COMELC,2050,1.0055
KENYA,TS05,INDELC,2019,0.3493
KENYA,TS05,INDELC,2020,0.3554
KENYA,TS05,INDELC,2021,0.3716
KENYA,TS05,INDELC,2022,0.384
KENYA,TS05,INDELC,2023,0.3957
KENYA,TS05,INDELC,2024,0.4093
KENYA,TS05,INDELC,2025,0.4241
KENYA,TS05,INDELC,2026,0.4626
KENYA,TS05,INDELC,2027,0.5047
KENYA,TS05,INDELC,2028,0.5507
KENYA,TS05,INDELC,2029,0.6008
KENYA,TS05,INDELC,2030,0.6554
KENYA,TS05,INDELC,2031,0.7151
KENYA,TS05,INDELC,2032,0.7802
KENYA,TS05,INDELC,2033,0.8511
KENYA,TS05,INDELC,2034,0.9286
KENYA,TS05,INDELC,2035,1.0131
KENYA,TS05,INDELC,2036,1.1053
KENYA,TS05,INDELC,2037,1.2059
KENYA,TS05,INDELC,2038,1.3156
KENYA,TS05,INDELC,2039,1.4353
KENYA,TS05,INDELC,2040,1.5659
KENYA,TS05,INDELC,2041,1.7084
KENYA,TS05,INDELC,2042,1.8504
KENYA,TS05,INDELC,2043,2.0012
KENYA,TS05,INDELC,2044,2.1644
KENYA,TS05,INDELC,2045,2.3409
KENYA,TS05,INDELC,2046,2.5318
KENYA,TS05,INDELC,2047,2.7382
KENYA,TS05,INDELC,2048,2.9615
KENYA,TS05,INDELC,2049,3.203
KENYA,TS05,INDELC,2050,3.4642
