r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINHYD,1,2045,38.9223
KENYA,MINHYD,1,2046,41.0102
KENYA,MINHYD,1,2047,43.2925
KENYA,MINHYD,1,2048,44.023
KENYA,MINHYD,1,2049,44.1612
KENYA,MINHYD,1,2050,44.3128
KENYA,MINSOL,1,2019,0.3111
KENYA,MINSOL,1,2020,0.3111
KENYA,MINSOL,1,2021,0.8065
KENYA,MINSOL,1,2022,1.0542
KENYA,MINSOL,1,2023,1.3112
KENYA,MINSOL,1,2024,1.5588
KENYA,MINSOL,1,2025,1.5588
KENYA,MINSOL,1,2026,1.8684
KENYA,MINSOL,1,2027,1.9499
KENYA,MINSOL,1,2028,2.0572
KENYA,MINSOL,1,2029,2.1983
KENYA,MINSOL,1,2030,2.384
KENYA,MINSOL,1,2031,2.6284
KENYA,MINSOL,1,2032,3.9563
KENYA,MINSOL,1,2033,4.3795
KENYA,MINSOL,1,2034,4.9366
KENYA,MINSOL,1,2035,5.6696
KENYA,MINSOL,1,2036,6.6343
KENYA,MINSOL,1,2037,7.9038
KENYA,MINSOL,1,2038,9.2634
KENYA,MINSOL,1,2039,11.4621
KENYA,MINSOL,1,2040,14.3555
KENYA,MINSOL,1,2041,17.6679
KENYA,MINSOL,1,2042,22.4313
KENYA,MINSOL,1,2043,28.7688
KENYA,MINSOL,1,2044,37.1995
KENYA,MINSOL,1,2045,48.6202
KENYA,MINSOL,1,2046,63.3403
KENYA,MINSOL,1,2047,83.0183
KENYA,MINSOL,1,2048,101.7886
KENYA,MINSOL,1,2049,102.0676
KENYA,MINSOL,1,2050,102.0676
KENYA,MINWND,1,2019,5.4829
KENYA,MINWND,1,2020,5.4829
KENYA,MINWND,1,2021,6.9304
KENYA,MINWND,1,2022,6.9304
KENYA,MINWND,1,2023,6.9304
KENYA,MINWND,1,2024,6.9304
KENYA,MINWND,1,2025,7.0512
KENYA,MINWND,1,2026,7.8084
KENYA,MINWND,1,2027,7.9637
KENYA,MINWND,1,2028,9.36
KENYA,MINWND,1,2029,9.5937
KENYA,MINWND,1,2030,10.3389
KENYA,MINWND,1,2031,11.1266
KENYA,MINWND,1,2032,11.5585
KENYA,MINWND,1,2033,12.4826
KENYA,MINWND,1,2034,13.1327
KENYA,MINWND,1,2035,13.7062
KENYA,MINWND,1,2036,14.685
KENYA,MINWND,1,2037,15.886
KENYA,MINWND,1,2038,13.8911
KENYA,MINWND,1,2039,13.965
KENYA,MINWND,1,2040,16.1835
KENYA,MINWND,1,2041,17.4582
KENYA,MINWND,1,2042,20.7982
KENYA,MINWND,1,2043,24.8965
KENYA,MINWND,1,2044,29.925
KENYA,MINWND,1,2045,35.9741
KENYA,MINWND,1,2046,42.7876
KENYA,MINWND,1,2047,51.8927
KENYA,MINWND,1,2048,63.0295
KENYA,MINWND,1,2049,76.6511
KENYA,MINWND,1,2050,92.8971
KENYA,PWRBIO001,1,2019,0.0315
KENYA,PWRBIO001,1,2020,0.0315
KENYA,PWRBIO001,1,2021,0.0315
KENYA,PWRBIO001,1,2022,0.0315
KENYA,PWRBIO001,1,2023,0.0536
KENYA,PWRBIO001,1,2024,0.0536
KENYA,PWRBIO001,1,2025,0.0536
KENYA,PWRBIO001,1,2026,0.2112
KENYA,PWRBIO001,1,2027,0.2112
KENYA,PWRBIO001,1,2028,0.3374
KENYA,PWRBIO001,1,2029,0.3374
KENYA,PWRBIO001,1,2030,1.0972
KENYA,PWRBIO001,1,2031,1.4125
KENYA,PWRBIO001,1,2032,1.5828
KENYA,PWRBIO001,1,2033,1.6301
KENYA,PWRBIO001,1,2034,1.7247
KENYA,PWRBIO001,1,2035,1.7294
KENYA,PWRBIO001,1,2036,1.8697
KENYA,PWRBIO001,1,2037,2.01
KENYA,PWRBIO001,1,2038,2.1503
KENYA,PWRBIO001,1,2039,2.2906
KENYA,PWRBIO001,1,2040,2.4309
KENYA,PWRBIO001,1,2041,2.5712
KENYA,PWRBIO001,1,2042,2.7116
KENYA,PWRBIO001,1,2043,2.8519
KENYA,PWRBIO001,1,2044,2.9922
KENYA,PWRBIO001,1,2045,3.1325
KENYA,PWRBIO001,1,2046,3.2728
KENYA,PWRBIO001,1,2047,3.4131
KENYA,PWRBIO001,1,2048,2.6507
KENYA,PWRBIO001,1,2049,3.6937
KENYA,PWRBIO001,1,2050,3.834
KENYA,PWRDIST,1,2019,45.2992
KENYA,PWRDIST,1,2020,46.0963
KENYA,PWRDIST,1,2021,48.1497
KENYA,PWRDIST,1,2022,49.7134
KENYA,PWRDIST,1,2023,51.0728
KENYA,PWRDIST,1,2024,52.7433
KENYA,PWRDIST,1,2025,54.5992
KENYA,PWRDIST,1,2026,59.1765
KENYA,PWRDIST,1,2027,64.4035
KENYA,PWRDIST,1,2028,70.2212
KENYA,PWRDIST,1,2029,76.5111
KENYA,PWRDIST,1,2030,82.9551
KENYA,PWRDIST,1,2031,90.139
KENYA,PWRDIST,1,2032,98.1572
KENYA,PWRDIST,1,2033,106.7187
KENYA,PWRDIST,1,2034,116.1806
KENYA,PWRDIST,1,2035,126.4435
KENYA,PWRDIST,1,2036,137.7094
KENYA,PWRDIST,1,2037,150.3858
KENYA,PWRDIST,1,2038,164.2009
KENYA,PWRDIST,1,2039,179.2385
KENYA,PWRDIST,1,2040,195.6442
KENYA,PWRDIST,1,2041,213.5238
KENYA,PWRDIST,1,2042,231.2682
KENYA,PWRDIST,1,2043,250.123
KENYA,PWRDIST,1,2044,270.4645
KENYA,PWRDIST,1,2045,292.4678
KENYA,PWRDIST,1,2046,316.2387
KENYA,PWRDIST,1,2047,341.8836
KENYA,PWRDIST,1,2048,369.6253
KENYA,PWRDIST,1,2049,399.5958
KENYA,PWRDIST,1,2050,431.9279
KENYA,PWRGEO001,1,2019,0.4472
KENYA,PWRGEO001,1,2020,0.4472
KENYA,PWRGEO001,1,2021,0.4472
KENYA,PWRGEO001,1,2022,0.4472
KENYA,PWRGEO001,1,2023,0.4472
KENYA,PWRGEO002,1,2019,4.1736
KENYA,PWRGEO002,1,2020,4.1736
KENYA,PWRGEO002,1,2021,4.1736
KENYA,PWRGEO002,1,2022,4.1736
KENYA,PWRGEO002,1,2023,4.1736
KENYA,PWRGEO002,1,2024,4.1736
KENYA,PWRGEO002,1,2025,4.1736
KENYA,PWRGEO002,1,2026,4.1736
KENYA,PWRGEO002,1,2027,4.1736
KENYA,PWRGEO002,1,2028,4.1736
KENYA,PWRGEO002,1,2029,4.1736
KENYA,PWRGEO002,1,2030,4.1736
KENYA,PWRGEO002,1,2031,4.1736
KENYA,PWRGEO002,1,2032,4.1736
KENYA,PWRGEO002,1,2033,4.1736
KENYA,PWRGEO002,1,2034,4.1736
KENYA,PWRGEO002,1,2035,4.1736
KENYA,PWRGEO002,1,2036,4.1736
KENYA,PWRGEO002,1,2037,4.1736
KENYA,PWRGEO002,1,2038,4.1736
KENYA,PWRGEO002,1,2039,4.1736
KENYA,PWRGEO002,1,2040,4.1736
KENYA,PWRGEO003,1,2019,3.0109
KENYA,PWRGEO003,1,2020,3.0109
KENYA,PWRGEO003,1,2021,3.0109
KENYA,PWRGEO003,1,2022,3.0109
KENYA,PWRGEO003,1,2023,3.0109
KENYA,PWRGEO003,1,2024,3.0109
KENYA,PWRGEO003,1,2025,3.0109
KENYA,PWRGEO003,1,2026,3.0109
KENYA,PWRGEO003,1,2027,3.0109
KENYA,PWRGEO003,1,2028,3.0109
KENYA,PWRGEO004,1,2019,1.902
KENYA,PWRGEO004,1,2020,1.902
KENYA,PWRGEO004,1,2021,1.902
KENYA,PWRGEO004,1,2022,1.902
KENYA,PWRGEO004,1,2023,1.902
KENYA,PWRGEO004,1,2024,1.902
KENYA,PWRGEO004,1,2025,1.902
KENYA,PWRGEO004,1,2026,1.902
KENYA,PWRGEO004,1,2027,1.902
KENYA,PWRGEO004,1,2028,1.902
KENYA,PWRGEO004,1,2029,1.902
KENYA,PWRGEO004,1,2030,1.902
KENYA,PWRGEO004,1,2031,1.902
KENYA,PWRGEO004,1,2032,1.902
KENYA,PWRGEO004,1,2033,1.902
KENYA,PWRGEO004,1,2034,1.902
KENYA,PWRGEO004,1,2035,1.902
KENYA,PWRGEO004,1,2036,1.902
KENYA,PWRGEO004,1,2037,1.902
KENYA,PWRGEO004,1,2038,1.902
KENYA,PWRGEO004,1,2039,1.902
KENYA,PWRGEO004,1,2040,1.902
KENYA,PWRGEO004,1,2041,1.902
KENYA,PWRGEO004,1,2042,1.902
KENYA,PWRGEO005,1,2019,1.1805
KENYA,PWRGEO005,1,2020,1.1805
KENYA,PWRGEO005,1,2021,1.1805
KENYA,PWRGEO005,1,2022,1.1805
KENYA,PWRGEO005,1,2023,1.1805
KENYA,PWRGEO005,1,2024,1.1805
KENYA,PWRGEO005,1,2025,1.1805
KENYA,PWRGEO005,1,2026,1.1805
KENYA,PWRGEO005,1,2027,1.1805
KENYA,PWRGEO005,1,2028,1.1805
KENYA,PWRGEO005,1,2029,1.1805
KENYA,PWRGEO005,1,2030,1.1805
KENYA,PWRGEO005,1,2031,1.1805
KENYA,PWRGEO005,1,2032,1.1805
KENYA,PWRGEO005,1,2033,1.1805
KENYA,PWRGEO005,1,2034,1.1805
KENYA,PWRGEO005,1,2035,1.1805
KENYA,PWRGEO005,1,2036,1.1805
KENYA,PWRGEO005,1,2037,1.1805
KENYA,PWRGEO006,1,2019,4.1736
KENYA,PWRGEO006,1,2020,4.1736
KENYA,PWRGEO006,1,2021,4.1736
KENYA,PWRGEO006,1,2022,4.1736
KENYA,PWRGEO006,1,2023,4.1736
KENYA,PWRGEO006,1,2024,4.1736
KENYA,PWRGEO006,1,2025,4.1736
KENYA,PWRGEO006,1,2026,4.1736
KENYA,PWRGEO006,1,2027,4.1736
KENYA,PWRGEO006,1,2028,4.1736
KENYA,PWRGEO006,1,2029,4.1736
KENYA,PWRGEO006,1,2030,4.1736
KENYA,PWRGEO006,1,2031,4.1736
KENYA,PWRGEO006,1,2032,4.1736
KENYA,PWRGEO006,1,2033,4.1736
KENYA,PWRGEO006,1,2034,4.1736
KENYA,PWRGEO006,1,2035,4.1736
KENYA,PWRGEO006,1,2036,4.1736
KENYA,PWRGEO006,1,2037,4.1736
KENYA,PWRGEO006,1,2038,4.1736
KENYA,PWRGEO006,1,2039,4.1736
KENYA,PWRGEO007,1,2019,1.3296
KENYA,PWRGEO007,1,2020,1.3296
KENYA,PWRGEO007,1,2021,1.3296
KENYA,PWRGEO007,1,2022,1.3296
KENYA,PWRGEO007,1,2023,1.3296
KENYA,PWRGEO007,1,2024,1.3296
KENYA,PWRGEO007,1,2025,1.3296
KENYA,PWRGEO007,1,2026,1.3296
KENYA,PWRGEO008,1,2019,0.8645
KENYA,PWRGEO008,1,2020,0.8645
KENYA,PWRGEO008,1,2021,0.8645
KENYA,PWRGEO008,1,2022,0.8645
KENYA,PWRGEO008,1,2023,0.8645
KENYA,PWRGEO008,1,2024,0.8645
KENYA,PWRGEO008,1,2025,0.8645
KENYA,PWRGEO008,1,2026,0.8645
KENYA,PWRGEO008,1,2027,0.8645
KENYA,PWRGEO008,1,2028,0.8645
KENYA,PWRGEO008,1,2029,0.8645
KENYA,PWRGEO008,1,2030,0.8645
KENYA,PWRGEO008,1,2031,0.8645
KENYA,PWRGEO008,1,2032,0.8645
KENYA,PWRGEO008,1,2033,0.8645
KENYA,PWRGEO008,1,2034,0.8645
KENYA,PWRGEO008,1,2035,0.8645
KENYA,PWRGEO008,1,2036,0.8645
KENYA,PWRGEO008,1,2037,0.8645
KENYA,PWRGEO008,1,2038,0.8645
KENYA,PWRGEO008,1,2039,0.8645
KENYA,PWRGEO008,1,2040,0.8645
KENYA,PWRGEO009,1,2019,0.8198
KENYA,PWRGEO009,1,2020,0.8198
KENYA,PWRGEO009,1,2021,0.8198
KENYA,PWRGEO009,1,2022,0.8198
KENYA,PWRGEO009,1,2023,0.8198
KENYA,PWRGEO009,1,2024,0.8198
KENYA,PWRGEO009,1,2025,0.8198
KENYA,PWRGEO009,1,2026,0.8198
KENYA,PWRGEO009,1,2027,0.8198
KENYA,PWRGEO009,1,2028,0.8198
KENYA,PWRGEO009,1,2029,0.8198
KENYA,PWRGEO009,1,2030,0.8198
KENYA,PWRGEO010,1,2023,1.0434
KENYA,PWRGEO010,1,2024,1.0434
KENYA,PWRGEO010,1,2025,1.0434
KENYA,PWRGEO010,1,2026,1.0434
KENYA,PWRGEO010,1,2027,1.0434
KENYA,PWRGEO010,1,2028,1.0434
KENYA,PWRGEO010,1,2029,1.0434
KENYA,PWRGEO010,1,2030,1.0434
KENYA,PWRGEO010,1,2031,1.0434
KENYA,PWRGEO010,1,2032,1.0434
KENYA,PWRGEO010,1,2033,1.0434
KENYA,PWRGEO010,1,2034,1.0434
KENYA,PWRGEO010,1,2035,1.0434
KENYA,PWRGEO010,1,2036,1.0434
KENYA,PWRGEO010,1,2037,1.0434
KENYA,PWRGEO010,1,2038,1.0434
KENYA,PWRGEO010,1,2039,1.0434
KENYA,PWRGEO010,1,2040,1.0434
KENYA,PWRGEO010,1,2041,1.0434
KENYA,PWRGEO010,1,2042,1.0434
KENYA,PWRGEO010,1,2043,1.0434
KENYA,PWRGEO010,1,2044,1.0434
