r,s,ls,ld,lh,y,NetChargeWithinDay
KENYA,BESS001,3,2,1,2031,0.005
KENYA,BESS001,3,2,1,2032,0.0006
KENYA,BESS001,3,2,1,2034,0.004
KENYA,BESS001,3,2,1,2035,0.005
KENYA,BESS001,3,2,1,2036,0.005
KENYA,BESS001,3,2,1,2037,0.005
KENYA,BESS001,3,2,1,2039,0.0022
KENYA,BESS001,3,2,1,2041,0.0023
KENYA,BESS001,3,2,1,2042,0.0028
KENYA,BESS001,3,2,1,2043,-0.0014
KENYA,BESS001,3,2,1,2044,-0.0057
KENYA,BESS001,3,2,1,2045,-0.013
KENYA,BESS001,3,2,1,2046,-0.0237
KENYA,BESS001,3,2,1,2047,-0.0373
KENYA,BESS001,3,2,1,2048,-0.0486
KENYA,BESS001,3,2,1,2049,-0.0473
KENYA,BESS001,3,2,1,2050,-0.0392
KENYA,BESS001,3,2,2,2028,0.0003
KENYA,BESS001,3,2,2,2029,0.0004
