r,t,f,y,UseByTechnologyAnnual
KENYA,PWRGEO005,GEO,2033,3.5061
KENYA,PWRGEO005,GEO,2034,3.5061
KENYA,PWRGEO005,GEO,2035,3.5061
KENYA,PWRGEO005,GEO,2036,3.5061
KENYA,PWRGEO005,GEO,2037,3.5061
KENYA,PWRGEO006,GEO,2019,12.3954
KENYA,PWRGEO006,GEO,2020,12.3954
KENYA,PWRGEO006,GEO,2021,12.3954
KENYA,PWRGEO006,GEO,2022,12.3954
KENYA,PWRGEO006,GEO,2023,12.3954
KENYA,PWRGEO006,GEO,2024,12.3954
KENYA,PWRGEO006,GEO,2025,12.3954
KENYA,PWRGEO006,GEO,2026,12.3954
KENYA,PWRGEO006,GEO,2027,12.3954
KENYA,PWRGEO006,GEO,2028,12.3954
KENYA,PWRGEO006,GEO,2029,12.3954
KENYA,PWRGEO006,GEO,2030,12.3954
KENYA,PWRGEO006,GEO,2031,12.3954
KENYA,PWRGEO006,GEO,2032,12.3955
KENYA,PWRGEO006,GEO,2033,12.3954
KENYA,PWRGEO006,GEO,2034,12.3954
KENYA,PWRGEO006,GEO,2035,12.3954
KENYA,PWRGEO006,GEO,2036,12.3954
KENYA,PWRGEO006,GEO,2037,12.3955
KENYA,PWRGEO006,GEO,2038,12.3954
KENYA,PWRGEO006,GEO,2039,12.3954
KENYA,PWRGEO007,GEO,2019,3.9488
KENYA,PWRGEO007,GEO,2020,3.9489
KENYA,PWRGEO007,GEO,2021,3.9489
KENYA,PWRGEO007,GEO,2022,3.9488
KENYA,PWRGEO007,GEO,2023,3.9489
KENYA,PWRGEO007,GEO,2024,3.9489
KENYA,PWRGEO007,GEO,2025,3.9489
KENYA,PWRGEO007,GEO,2026,3.9489
KENYA,PWRGEO008,GEO,2019,2.5675
KENYA,PWRGEO008,GEO,2020,2.5675
KENYA,PWRGEO008,GEO,2021,2.5675
KENYA,PWRGEO008,GEO,2022,2.5675
KENYA,PWRGEO008,GEO,2023,2.5675
KENYA,PWRGEO008,GEO,2024,2.5675
KENYA,PWRGEO008,GEO,2025,2.5675
KENYA,PWRGEO008,GEO,2026,2.5675
KENYA,PWRGEO008,GEO,2027,2.5675
KENYA,PWRGEO008,GEO,2028,2.5675
KENYA,PWRGEO008,GEO,2029,2.5675
KENYA,PWRGEO008,GEO,2030,2.5675
KENYA,PWRGEO008,GEO,2031,2.5675
KENYA,PWRGEO008,GEO,2032,2.5675
KENYA,PWRGEO008,GEO,2033,2.5675
KENYA,PWRGEO008,GEO,2034,2.5675
KENYA,PWRGEO008,GEO,2035,2.5675
KENYA,PWRGEO008,GEO,2036,2.5675
KENYA,PWRGEO008,GEO,2037,2.5675
KENYA,PWRGEO008,GEO,2038,2.5675
KENYA,PWRGEO008,GEO,2039,2.5675
KENYA,PWRGEO008,GEO,2040,2.5675
KENYA,PWRGEO009,GEO,2019,2.4347
KENYA,PWRGEO009,GEO,2020,2.4347
KENYA,PWRGEO009,GEO,2021,2.4347
KENYA,PWRGEO009,GEO,2022,2.4347
KENYA,PWRGEO009,GEO,2023,2.4347
KENYA,PWRGEO009,GEO,2024,2.4347
KENYA,PWRGEO009,GEO,2025,2.4347
KENYA,PWRGEO009,GEO,2026,2.4347
KENYA,PWRGEO009,GEO,2027,2.4347
KENYA,PWRGEO009,GEO,2028,2.4347
KENYA,PWRGEO009,GEO,2029,2.4347
KENYA,PWRGEO009,GEO,2030,2.4347
KENYA,PWRGEO010,GEO,2023,3.099
KENYA,PWRGEO010,GEO,2024,3.099
KENYA,PWRGEO010,GEO,2025,3.099
KENYA,PWRGEO010,GEO,2026,3.099
