r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,2,3,2036,0.0001
KENYA,BESS001,2,2,3,2037,0.0002
KENYA,BESS001,2,2,3,2038,0.0
KENYA,BESS001,2,2,3,2040,0.0001
KENYA,BESS001,2,2,3,2041,0.0001
KENYA,BESS001,2,2,3,2042,0.0002
KENYA,BESS001,2,2,3,2044,1.3421
KENYA,BESS001,2,2,3,2045,2.808
KENYA,BESS001,2,2,3,2046,4.8234
KENYA,BESS001,2,2,3,2047,7.2967
KENYA,BESS001,2,2,3,2048,9.4502
KENYA,BESS001,2,2,3,2049,9.4311
KENYA,BESS001,2,2,3,2050,9.5421
KENYA,BESS001,2,2,4,2024,-0.2047
KENYA,BESS001,2,2,4,2025,-2.7221
KENYA,BESS001,2,2,4,2026,-0.4207
KENYA,BESS001,2,2,4,2027,-1.7611
KENYA,BESS001,2,2,4,2028,-2.1882
KENYA,BESS001,2,2,4,2029,-2.6629
KENYA,BESS001,2,2,4,2030,-2.2866
KENYA,BESS001,2,2,4,2031,-2.0623
KENYA,BESS001,2,2,4,2032,-2.7221
KENYA,BESS001,2,2,4,2033,-2.7221
KENYA,BESS001,2,2,4,2034,2.4367
KENYA,BESS001,2,2,4,2036,-0.0001
KENYA,BESS001,2,2,4,2038,0.0
KENYA,BESS001,2,2,4,2041,-0.0002
KENYA,BESS001,2,2,4,2042,-0.0002
KENYA,BESS001,2,2,4,2044,-1.3421
KENYA,BESS001,2,2,4,2045,-2.808
KENYA,BESS001,2,2,4,2046,-4.7186
KENYA,BESS001,2,2,4,2047,-7.138
KENYA,BESS001,2,2,4,2048,-9.4502
KENYA,BESS001,2,2,4,2049,-11.6138
KENYA,BESS001,2,2,4,2050,-14.1057
KENYA,BESS001,2,2,5,2024,0.2047
KENYA,BESS001,2,2,5,2025,-1.1039
KENYA,BESS001,2,2,5,2026,2.7221
KENYA,BESS001,2,2,5,2027,2.6573
KENYA,BESS001,2,2,5,2028,2.4291
KENYA,BESS001,2,2,5,2029,-2.7221
KENYA,BESS001,2,2,5,2030,2.7221
KENYA,BESS001,2,2,5,2031,2.7221
KENYA,BESS001,2,2,5,2032,2.7064
KENYA,BESS001,2,2,5,2033,1.8308
KENYA,BESS001,2,2,5,2034,2.5174
KENYA,BESS001,2,2,5,2036,-0.0003
KENYA,BESS001,2,2,5,2037,-0.0001
KENYA,BESS001,2,2,5,2038,-0.0
KENYA,BESS001,2,2,5,2040,-0.0001
KENYA,BESS001,2,2,5,2041,-0.0
KENYA,BESS001,2,2,5,2042,-0.0
KENYA,BESS001,2,2,5,2044,-1.3421
KENYA,BESS001,2,2,5,2045,-2.6859
KENYA,BESS001,2,2,5,2046,-4.8234
KENYA,BESS001,2,2,5,2047,-7.2967
KENYA,BESS001,2,2,5,2048,-9.0393
KENYA,BESS001,2,2,5,2049,-4.6558
KENYA,BESS001,2,2,6,2024,-0.2047
KENYA,BESS001,2,2,6,2025,-2.7221
KENYA,BESS001,2,2,6,2026,-2.7221
KENYA,BESS001,2,2,6,2027,-2.7221
KENYA,BESS001,2,2,6,2028,-2.7221
KENYA,BESS001,2,2,6,2029,-2.7221
KENYA,BESS001,2,2,6,2030,-2.7221
KENYA,BESS001,2,2,6,2031,-2.7221
