r,l,t,m,y,RateOfActivity
KENYA,TS04,BESS_TECH,1,2033,2.202
KENYA,TS05,BESS_TECH,1,2033,2.7221
KENYA,TS07,BESS_TECH,1,2033,0.5986
KENYA,TS14,BESS_TECH,1,2033,0.6622
KENYA,TS17,BESS_TECH,1,2033,2.7221
KENYA,TS18,BESS_TECH,1,2033,0.759
KENYA,TS21,BESS_TECH,1,2033,1.1803
KENYA,TS22,BESS_TECH,1,2033,0.9181
KENYA,TS23,BESS_TECH,1,2033,2.7221
KENYA,TS26,BESS_TECH,1,2033,1.4235
KENYA,TS29,BESS_TECH,1,2033,2.7221
KENYA,TS30,BESS_TECH,1,2033,2.7221
KENYA,TS31,BESS_TECH,1,2033,2.7221
KENYA,TS32,BESS_TECH,1,2033,0.3142
KENYA,TS35,BESS_TECH,1,2033,0.9557
KENYA,TS36,BESS_TECH,1,2033,2.7221
KENYA,TS38,BESS_TECH,1,2033,1.8414
KENYA,TS41,BESS_TECH,1,2033,2.7221
KENYA,TS44,BESS_TECH,1,2033,0.3091
KENYA,TS47,BESS_TECH,1,2033,1.396
KENYA,TS48,BESS_TECH,1,2033,0.5694
KENYA,TS01,BESS_TECH,2,2034,0.5245
KENYA,TS02,BESS_TECH,2,2034,2.5174
KENYA,TS06,BESS_TECH,2,2034,0.647
KENYA,TS10,BESS_TECH,2,2034,2.5174
KENYA,TS11,BESS_TECH,2,2034,2.5174
KENYA,TS16,BESS_TECH,2,2034,1.6765
KENYA,TS17,BESS_TECH,2,2034,0.927
KENYA,TS20,BESS_TECH,2,2034,2.5174
KENYA,TS22,BESS_TECH,2,2034,2.5174
KENYA,TS24,BESS_TECH,2,2034,2.5174
KENYA,TS25,BESS_TECH,2,2034,2.5174
KENYA,TS27,BESS_TECH,2,2034,0.4967
KENYA,TS28,BESS_TECH,2,2034,0.5244
KENYA,TS32,BESS_TECH,2,2034,0.4667
KENYA,TS33,BESS_TECH,2,2034,2.5174
KENYA,TS34,BESS_TECH,2,2034,2.5174
KENYA,TS40,BESS_TECH,2,2034,1.7552
KENYA,TS46,BESS_TECH,2,2034,2.5174
KENYA,TS04,BESS_TECH,1,2034,1.8556
KENYA,TS05,BESS_TECH,1,2034,2.5174
KENYA,TS07,BESS_TECH,1,2034,2.5174
KENYA,TS08,BESS_TECH,1,2034,0.074
KENYA,TS13,BESS_TECH,1,2034,1.4476
KENYA,TS19,BESS_TECH,1,2034,2.5174
KENYA,TS21,BESS_TECH,1,2034,0.8515
KENYA,TS23,BESS_TECH,1,2034,2.5174
KENYA,TS26,BESS_TECH,1,2034,2.5174
KENYA,TS29,BESS_TECH,1,2034,2.5174
KENYA,TS30,BESS_TECH,1,2034,2.5174
KENYA,TS31,BESS_TECH,1,2034,2.5174
KENYA,TS35,BESS_TECH,1,2034,2.0032
KENYA,TS36,BESS_TECH,1,2034,2.5174
KENYA,TS37,BESS_TECH,1,2034,0.3066
KENYA,TS41,BESS_TECH,1,2034,2.5174
KENYA,TS42,BESS_TECH,1,2034,0.0586
KENYA,TS43,BESS_TECH,1,2034,0.2286
KENYA,TS45,BESS_TECH,1,2034,0.6326
KENYA,TS47,BESS_TECH,1,2034,2.4884
KENYA,TS03,BESS_TECH,2,2044,1.0949
KENYA,TS06,BESS_TECH,2,2044,1.7164
KENYA,TS08,BESS_TECH,2,2044,1.894
KENYA,TS10,BESS_TECH,2,2044,1.9248
KENYA,TS11,BESS_TECH,2,2044,1.9248
KENYA,TS14,BESS_TECH,2,2044,1.6198
KENYA,TS20,BESS_TECH,2,2044,1.9248
KENYA,TS24,BESS_TECH,2,2044,1.9248
KENYA,TS25,BESS_TECH,2,2044,0.6412
KENYA,TS27,BESS_TECH,2,2044,1.9248
KENYA,TS28,BESS_TECH,2,2044,0.0146
KENYA,TS32,BESS_TECH,2,2044,1.9248
KENYA,TS33,BESS_TECH,2,2044,0.7739
KENYA,TS34,BESS_TECH,2,2044,0.7389
KENYA,TS35,BESS_TECH,2,2044,1.9248
KENYA,TS40,BESS_TECH,2,2044,1.9248
KENYA,TS41,BESS_TECH,2,2044,0.5365
KENYA,TS46,BESS_TECH,2,2044,1.9248
KENYA,TS47,BESS_TECH,2,2044,1.9248
KENYA,TS04,BESS_TECH,1,2044,1.9248
KENYA,TS05,BESS_TECH,1,2044,1.9248
KENYA,TS07,BESS_TECH,1,2044,1.9248
KENYA,TS09,BESS_TECH,1,2044,0.0129
KENYA,TS12,BESS_TECH,1,2044,1.9248
KENYA,TS16,BESS_TECH,1,2044,0.2348
KENYA,TS17,BESS_TECH,1,2044,1.9248
KENYA,TS19,BESS_TECH,1,2044,0.1931
KENYA,TS22,BESS_TECH,1,2044,1.5975
KENYA,TS23,BESS_TECH,1,2044,1.9248
KENYA,TS26,BESS_TECH,1,2044,1.9248
KENYA,TS29,BESS_TECH,1,2044,1.9248
KENYA,TS30,BESS_TECH,1,2044,1.9248
KENYA,TS31,BESS_TECH,1,2044,1.9248
KENYA,TS36,BESS_TECH,1,2044,1.9248
KENYA,TS39,BESS_TECH,1,2044,0.5211
KENYA,TS42,BESS_TECH,1,2044,1.9248
KENYA,TS44,BESS_TECH,1,2044,1.9248
