r,t,f,y,ProductionByTechnologyAnnual
KENYA,MINSOL,SOL,2041,2.0062
KENYA,MINSOL,SOL,2042,1.7585
KENYA,MINSOL,SOL,2043,1.5016
KENYA,MINSOL,SOL,2044,1.2539
KENYA,MINSOL,SOL,2045,1.2539
KENYA,MINSOL,SOL,2046,1.0062
KENYA,MINSOL,SOL,2047,1.0062
KENYA,MINSOL,SOL,2048,1.0062
KENYA,MINSOL,SOL,2049,1.0062
KENYA,MINSOL,SOL,2050,1.0062
KENYA,MINWND,WND,2019,5.4829
KENYA,MINWND,WND,2020,5.4829
KENYA,MINWND,WND,2021,6.9304
KENYA,MINWND,WND,2022,6.9304
KENYA,MINWND,WND,2023,6.9304
KENYA,MINWND,WND,2024,6.9304
KENYA,MINWND,WND,2025,7.0512
KENYA,MINWND,WND,2026,7.6819
KENYA,MINWND,WND,2027,7.6819
KENYA,MINWND,WND,2028,8.8876
KENYA,MINWND,WND,2029,8.8876
KENYA,MINWND,WND,2030,8.8876
KENYA,MINWND,WND,2031,9.3234
KENYA,MINWND,WND,2032,9.7205
KENYA,MINWND,WND,2033,9.7818
KENYA,MINWND,WND,2034,9.7818
KENYA,MINWND,WND,2035,9.5576
KENYA,MINWND,WND,2036,9.5576
KENYA,MINWND,WND,2037,9.5576
KENYA,MINWND,WND,2038,6.0892
KENYA,MINWND,WND,2039,4.355
KENYA,MINWND,WND,2040,4.355
KENYA,MINWND,WND,2041,2.9075
KENYA,MINWND,WND,2042,2.9075
KENYA,MINWND,WND,2043,3.3017
KENYA,MINWND,WND,2044,3.3017
KENYA,MINWND,WND,2045,3.1809
KENYA,MINWND,WND,2046,2.5502
KENYA,MINWND,WND,2047,2.5502
KENYA,MINWND,WND,2048,2.5502
KENYA,MINWND,WND,2049,2.5502
KENYA,MINWND,WND,2050,2.5502
KENYA,PWRBIO001,ELC001,2019,0.0315
KENYA,PWRBIO001,ELC001,2020,0.0315
KENYA,PWRBIO001,ELC001,2021,0.0315
KENYA,PWRBIO001,ELC001,2022,0.0315
KENYA,PWRBIO001,ELC001,2023,0.0536
KENYA,PWRBIO001,ELC001,2024,0.0536
KENYA,PWRBIO001,ELC001,2025,0.0536
KENYA,PWRBIO001,ELC001,2026,0.2113
KENYA,PWRBIO001,ELC001,2027,0.2113
KENYA,PWRBIO001,ELC001,2028,0.3373
KENYA,PWRBIO001,ELC001,2029,0.3373
KENYA,PWRBIO001,ELC001,2030,1.0973
KENYA,PWRBIO001,ELC001,2031,1.4125
KENYA,PWRBIO001,ELC001,2032,1.5828
KENYA,PWRBIO001,ELC001,2033,1.6301
KENYA,PWRBIO001,ELC001,2034,1.7247
KENYA,PWRBIO001,ELC001,2035,1.7294
KENYA,PWRBIO001,ELC001,2036,1.8697
KENYA,PWRBIO001,ELC001,2037,2.01
KENYA,PWRBIO001,ELC001,2038,2.1504
KENYA,PWRBIO001,ELC001,2039,2.2906
KENYA,PWRBIO001,ELC001,2040,2.2906
KENYA,PWRBIO001,ELC001,2041,2.5713
KENYA,PWRBIO001,ELC001,2042,2.7116
KENYA,PWRBIO001,ELC001,2043,2.8518
KENYA,PWRBIO001,ELC001,2044,2.9922
KENYA,PWRBIO001,ELC001,2045,3.1325
KENYA,PWRBIO001,ELC001,2046,3.2727
KENYA,PWRBIO001,ELC001,2047,3.4131
KENYA,PWRBIO001,ELC001,2048,3.5534
KENYA,PWRBIO001,ELC001,2049,3.6937
KENYA,PWRBIO001,ELC001,2050,3.834
KENYA,PWRDIST,ELC003,2019,41.3537
KENYA,PWRDIST,ELC003,2020,42.0813
KENYA,PWRDIST,ELC003,2021,44.004
KENYA,PWRDIST,ELC003,2022,45.4828
KENYA,PWRDIST,ELC003,2023,46.7827
KENYA,PWRDIST,ELC003,2024,48.3656
KENYA,PWRDIST,ELC003,2025,50.1221
KENYA,PWRDIST,ELC003,2026,51.6438
KENYA,PWRDIST,ELC003,2027,54.5189
KENYA,PWRDIST,ELC003,2028,57.6854
KENYA,PWRDIST,ELC003,2029,61.2475
KENYA,PWRDIST,ELC003,2030,64.6927
KENYA,PWRDIST,ELC003,2031,68.0113
KENYA,PWRDIST,ELC003,2032,71.8601
KENYA,PWRDIST,ELC003,2033,75.5868
KENYA,PWRDIST,ELC003,2034,79.687
KENYA,PWRDIST,ELC003,2035,83.9275
KENYA,PWRDIST,ELC003,2036,88.3028
KENYA,PWRDIST,ELC003,2037,93.5854
KENYA,PWRDIST,ELC003,2038,99.0952
KENYA,PWRDIST,ELC003,2039,104.9383
KENYA,PWRDIST,ELC003,2040,111.1278
KENYA,PWRDIST,ELC003,2041,117.6563
KENYA,PWRDIST,ELC003,2042,124.4359
KENYA,PWRDIST,ELC003,2043,131.6589
KENYA,PWRDIST,ELC003,2044,139.2903
KENYA,PWRDIST,ELC003,2045,147.3515
KENYA,PWRDIST,ELC003,2046,155.8671
KENYA,PWRDIST,ELC003,2047,164.8638
KENYA,PWRDIST,ELC003,2048,174.3679
KENYA,PWRDIST,ELC003,2049,184.4076
KENYA,PWRDIST,ELC003,2050,195.0127
KENYA,PWRGEO001,ELC001,2019,0.4471
KENYA,PWRGEO001,ELC001,2020,0.4471
KENYA,PWRGEO001,ELC001,2021,0.4471
KENYA,PWRGEO001,ELC001,2022,0.4471
KENYA,PWRGEO001,ELC001,2023,0.4471
KENYA,PWRGEO002,ELC001,2019,4.1735
KENYA,PWRGEO002,ELC001,2020,4.1736
KENYA,PWRGEO002,ELC001,2021,4.1736
KENYA,PWRGEO002,ELC001,2022,4.1736
KENYA,PWRGEO002,ELC001,2023,4.1736
KENYA,PWRGEO002,ELC001,2024,4.1736
KENYA,PWRGEO002,ELC001,2025,4.1735
KENYA,PWRGEO002,ELC001,2026,4.1736
KENYA,PWRGEO002,ELC001,2027,4.1736
KENYA,PWRGEO002,ELC001,2028,4.1735
KENYA,PWRGEO002,ELC001,2029,4.1735
KENYA,PWRGEO002,ELC001,2030,4.1735
KENYA,PWRGEO002,ELC001,2031,4.1736
KENYA,PWRGEO002,ELC001,2032,4.1735
KENYA,PWRGEO002,ELC001,2033,4.1735
KENYA,PWRGEO002,ELC001,2034,4.1736
KENYA,PWRGEO002,ELC001,2035,4.1735
KENYA,PWRGEO002,ELC001,2036,4.1735
KENYA,PWRGEO002,ELC001,2037,4.1736
KENYA,PWRGEO002,ELC001,2038,4.1735
KENYA,PWRGEO002,ELC001,2039,4.1735
KENYA,PWRGEO002,ELC001,2040,4.1735
KENYA,PWRGEO003,ELC001,2019,3.0109
KENYA,PWRGEO003,ELC001,2020,3.0109
KENYA,PWRGEO003,ELC001,2021,3.0109
KENYA,PWRGEO003,ELC001,2022,3.0109
KENYA,PWRGEO003,ELC001,2023,3.0109
KENYA,PWRGEO003,ELC001,2024,3.0109
KENYA,PWRGEO003,ELC001,2025,3.0109
KENYA,PWRGEO003,ELC001,2026,3.0109
KENYA,PWRGEO003,ELC001,2027,3.0109
KENYA,PWRGEO003,ELC001,2028,3.0109
KENYA,PWRGEO004,ELC001,2019,1.902
KENYA,PWRGEO004,ELC001,2020,1.902
KENYA,PWRGEO004,ELC001,2021,1.902
KENYA,PWRGEO004,ELC001,2022,1.902
KENYA,PWRGEO004,ELC001,2023,1.902
KENYA,PWRGEO004,ELC001,2024,1.902
KENYA,PWRGEO004,ELC001,2025,1.902
KENYA,PWRGEO004,ELC001,2026,1.902
KENYA,PWRGEO004,ELC001,2027,1.902
KENYA,PWRGEO004,ELC001,2028,1.902
KENYA,PWRGEO004,ELC001,2029,1.902
KENYA,PWRGEO004,ELC001,2030,1.902
KENYA,PWRGEO004,ELC001,2031,1.902
