r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS21,2037,7.3488
KENYA,BESS_TECH,TS21,2038,7.2999
KENYA,BESS_TECH,TS21,2039,5.9398
KENYA,BESS_TECH,TS21,2040,3.7716
KENYA,BESS_TECH,TS21,2041,10.1959
KENYA,BESS_TECH,TS21,2042,14.7295
KENYA,BESS_TECH,TS21,2043,24.4132
KENYA,BESS_TECH,TS21,2044,30.473
KENYA,BESS_TECH,TS21,2045,35.9746
KENYA,BESS_TECH,TS21,2046,38.8075
KENYA,BESS_TECH,TS21,2047,44.5528
KENYA,BESS_TECH,TS21,2048,48.4959
KENYA,BESS_TECH,TS21,2049,48.4959
KENYA,BESS_TECH,TS21,2050,48.9799
KENYA,BESS_TECH,TS22,2025,0.6231
KENYA,BESS_TECH,TS22,2026,0.4619
KENYA,BESS_TECH,TS22,2027,3.2428
KENYA,BESS_TECH,TS22,2028,2.396
KENYA,BESS_TECH,TS22,2029,2.334
KENYA,BESS_TECH,TS22,2030,0.4829
KENYA,BESS_TECH,TS22,2031,0.1661
KENYA,BESS_TECH,TS22,2032,1.2306
KENYA,BESS_TECH,TS22,2033,3.78
KENYA,BESS_TECH,TS22,2034,10.5917
KENYA,BESS_TECH,TS22,2035,9.9686
KENYA,BESS_TECH,TS22,2036,8.3349
KENYA,BESS_TECH,TS22,2037,7.3488
KENYA,BESS_TECH,TS22,2038,7.2999
KENYA,BESS_TECH,TS22,2039,5.8107
KENYA,BESS_TECH,TS22,2040,3.6896
KENYA,BESS_TECH,TS22,2041,9.9743
KENYA,BESS_TECH,TS22,2042,14.4093
KENYA,BESS_TECH,TS22,2043,23.8825
KENYA,BESS_TECH,TS22,2044,29.8105
KENYA,BESS_TECH,TS22,2045,35.9746
KENYA,BESS_TECH,TS22,2046,20.1498
KENYA,BESS_TECH,TS22,2047,16.1679
KENYA,BESS_TECH,TS22,2048,15.7301
KENYA,BESS_TECH,TS22,2049,43.8684
KENYA,BESS_TECH,TS22,2050,9.705
KENYA,BESS_TECH,TS23,2025,0.082
KENYA,BESS_TECH,TS23,2026,2.2568
KENYA,BESS_TECH,TS23,2027,1.4201
KENYA,BESS_TECH,TS23,2028,3.1464
KENYA,BESS_TECH,TS23,2029,3.8057
KENYA,BESS_TECH,TS23,2030,7.1036
KENYA,BESS_TECH,TS23,2031,7.1261
KENYA,BESS_TECH,TS23,2032,9.0792
KENYA,BESS_TECH,TS23,2033,4.4876
KENYA,BESS_TECH,TS23,2034,2.9022
KENYA,BESS_TECH,TS23,2035,9.5352
KENYA,BESS_TECH,TS23,2036,7.6163
KENYA,BESS_TECH,TS23,2037,7.0293
KENYA,BESS_TECH,TS23,2038,6.9825
KENYA,BESS_TECH,TS23,2039,5.9398
KENYA,BESS_TECH,TS23,2040,3.7716
KENYA,BESS_TECH,TS23,2041,10.1959
KENYA,BESS_TECH,TS23,2042,14.7295
KENYA,BESS_TECH,TS23,2043,24.4132
KENYA,BESS_TECH,TS23,2044,30.473
KENYA,BESS_TECH,TS23,2045,4.1567
KENYA,BESS_TECH,TS23,2046,38.8075
KENYA,BESS_TECH,TS23,2047,44.5528
KENYA,BESS_TECH,TS23,2048,48.4959
KENYA,BESS_TECH,TS23,2049,0.0335
KENYA,BESS_TECH,TS23,2050,11.1003
KENYA,BESS_TECH,TS24,2025,0.6231
KENYA,BESS_TECH,TS24,2026,2.2568
KENYA,BESS_TECH,TS24,2027,3.2428
KENYA,BESS_TECH,TS24,2028,6.1382
KENYA,BESS_TECH,TS24,2029,7.4984
KENYA,BESS_TECH,TS24,2030,10.5917
KENYA,BESS_TECH,TS24,2031,10.5917
KENYA,BESS_TECH,TS24,2032,10.5917
KENYA,BESS_TECH,TS24,2033,10.5917
KENYA,BESS_TECH,TS24,2034,10.5917
KENYA,BESS_TECH,TS24,2035,9.9686
KENYA,BESS_TECH,TS24,2036,8.3349
KENYA,BESS_TECH,TS24,2037,7.3488
KENYA,BESS_TECH,TS24,2038,7.2999
KENYA,BESS_TECH,TS24,2039,5.9398
KENYA,BESS_TECH,TS24,2040,3.7716
KENYA,BESS_TECH,TS24,2041,10.1959
KENYA,BESS_TECH,TS24,2042,14.7295
KENYA,BESS_TECH,TS24,2043,24.4132
KENYA,BESS_TECH,TS24,2044,30.473
KENYA,BESS_TECH,TS24,2045,35.9746
KENYA,BESS_TECH,TS24,2046,38.8075
KENYA,BESS_TECH,TS24,2047,44.5528
KENYA,BESS_TECH,TS24,2048,48.4959
KENYA,BESS_TECH,TS24,2049,48.4959
KENYA,BESS_TECH,TS24,2050,48.9799
KENYA,BESS_TECH,TS25,2026,0.5577
KENYA,BESS_TECH,TS25,2027,0.8598
KENYA,BESS_TECH,TS25,2028,2.375
KENYA,BESS_TECH,TS25,2029,7.4984
KENYA,BESS_TECH,TS25,2033,1.3562
KENYA,BESS_TECH,TS25,2034,8.44
KENYA,BESS_TECH,TS25,2035,2.3413
KENYA,BESS_TECH,TS25,2036,1.1326
KENYA,BESS_TECH,TS25,2037,2.4841
KENYA,BESS_TECH,TS25,2038,7.2999
KENYA,BESS_TECH,TS25,2039,4.9737
KENYA,BESS_TECH,TS25,2040,3.7716
KENYA,BESS_TECH,TS25,2041,10.1959
KENYA,BESS_TECH,TS25,2042,13.6886
KENYA,BESS_TECH,TS25,2043,17.3951
KENYA,BESS_TECH,TS25,2044,30.473
KENYA,BESS_TECH,TS25,2045,35.2399
KENYA,BESS_TECH,TS25,2046,35.3307
KENYA,BESS_TECH,TS25,2047,40.167
KENYA,BESS_TECH,TS25,2048,48.4959
KENYA,BESS_TECH,TS25,2049,30.8204
KENYA,BESS_TECH,TS25,2050,7.7647
KENYA,BESS_TECH,TS26,2025,0.6231
KENYA,BESS_TECH,TS26,2026,2.2568
KENYA,BESS_TECH,TS26,2027,3.2428
KENYA,BESS_TECH,TS26,2028,2.801
KENYA,BESS_TECH,TS26,2029,3.5998
KENYA,BESS_TECH,TS26,2030,0.3617
KENYA,BESS_TECH,TS26,2031,0.0431
KENYA,BESS_TECH,TS26,2032,10.5917
KENYA,BESS_TECH,TS26,2033,10.5917
KENYA,BESS_TECH,TS26,2034,8.0813
KENYA,BESS_TECH,TS26,2035,3.3239
KENYA,BESS_TECH,TS26,2036,8.3349
KENYA,BESS_TECH,TS26,2037,7.3488
KENYA,BESS_TECH,TS26,2038,6.6667
KENYA,BESS_TECH,TS26,2039,5.9398
KENYA,BESS_TECH,TS26,2040,3.7716
KENYA,BESS_TECH,TS26,2041,10.1959
KENYA,BESS_TECH,TS26,2042,14.7295
KENYA,BESS_TECH,TS26,2043,24.4132
KENYA,BESS_TECH,TS26,2044,30.473
KENYA,BESS_TECH,TS26,2045,35.9746
KENYA,BESS_TECH,TS26,2046,38.8075
KENYA,BESS_TECH,TS26,2047,41.5269
KENYA,BESS_TECH,TS26,2048,43.7585
KENYA,BESS_TECH,TS26,2049,28.084
KENYA,BESS_TECH,TS26,2050,37.9529
KENYA,BESS_TECH,TS27,2025,0.4123
KENYA,BESS_TECH,TS27,2026,2.2568
KENYA,BESS_TECH,TS27,2027,3.2428
KENYA,BESS_TECH,TS27,2028,4.1173
