r,t,y,TotalTechnologyAnnualActivity
KENYA,MINGEO,2034,176.3809
KENYA,MINGEO,2035,183.0885
KENYA,MINGEO,2036,202.5768
KENYA,MINGEO,2037,219.9354
KENYA,MINGEO,2038,233.3119
KENYA,MINGEO,2039,260.8897
KENYA,MINGEO,2040,307.0495
KENYA,MINGEO,2041,304.0049
KENYA,MINGEO,2042,318.7036
KENYA,MINGEO,2043,328.6998
KENYA,MINGEO,2044,346.3947
KENYA,MINGEO,2045,352.2976
KENYA,MINGEO,2046,374.5547
KENYA,MINGEO,2047,385.9683
KENYA,MINGEO,2048,395.5306
KENYA,MINGEO,2049,399.3443
KENYA,MINGEO,2050,381.0334
KENYA,MINHYD,2019,12.0376
KENYA,MINHYD,2020,12.0376
KENYA,MINHYD,2021,12.1705
KENYA,MINHYD,2022,12.3225
KENYA,MINHYD,2023,12.5934
KENYA,MINHYD,2024,12.8254
KENYA,MINHYD,2025,13.0567
KENYA,MINHYD,2026,13.6463
KENYA,MINHYD,2027,14.0897
KENYA,MINHYD,2028,14.4708
KENYA,MINHYD,2029,14.9578
KENYA,MINHYD,2030,15.8887
KENYA,MINHYD,2031,16.7705
KENYA,MINHYD,2032,17.5935
KENYA,MINHYD,2033,19.8925
KENYA,MINHYD,2034,20.986
KENYA,MINHYD,2035,22.2762
KENYA,MINHYD,2036,23.6407
KENYA,MINHYD,2037,23.6885
KENYA,MINHYD,2038,23.7404
KENYA,MINHYD,2039,23.7962
KENYA,MINHYD,2040,23.8587
KENYA,MINHYD,2041,23.9265
KENYA,MINHYD,2042,22.3065
KENYA,MINHYD,2043,22.3876
KENYA,MINHYD,2044,22.4754
KENYA,MINHYD,2045,22.5724
KENYA,MINHYD,2046,22.6788
KENYA,MINHYD,2047,22.7944
KENYA,MINHYD,2048,22.9207
KENYA,MINHYD,2049,23.059
KENYA,MINHYD,2050,23.2105
KENYA,MINSOL,2019,0.3111
KENYA,MINSOL,2020,0.3111
KENYA,MINSOL,2021,0.8065
KENYA,MINSOL,2022,1.0542
KENYA,MINSOL,2023,1.3112
KENYA,MINSOL,2024,1.5588
KENYA,MINSOL,2025,1.5588
KENYA,MINSOL,2026,1.8684
KENYA,MINSOL,2027,1.953
KENYA,MINSOL,2028,2.0686
KENYA,MINSOL,2029,2.2264
KENYA,MINSOL,2030,2.442
KENYA,MINSOL,2031,2.7365
KENYA,MINSOL,2032,4.145
KENYA,MINSOL,2033,4.6945
KENYA,MINSOL,2034,5.4451
KENYA,MINSOL,2035,6.4705
KENYA,MINSOL,2036,7.8712
KENYA,MINSOL,2037,9.7845
