r,t,f,y,ProductionByTechnologyAnnual
KENYA,MINHYD,HYD,2048,22.9207
KENYA,MINHYD,HYD,2049,23.0589
KENYA,MINHYD,HYD,2050,23.2105
KENYA,MINSOL,SOL,2019,0.3111
KENYA,MINSOL,SOL,2020,0.3111
KENYA,MINSOL,SOL,2021,0.8065
KENYA,MINSOL,SOL,2022,1.0542
KENYA,MINSOL,SOL,2023,1.3112
KENYA,MINSOL,SOL,2024,1.5588
KENYA,MINSOL,SOL,2025,1.5588
KENYA,MINSOL,SOL,2026,1.8685
KENYA,MINSOL,SOL,2027,1.953
KENYA,MINSOL,SOL,2028,2.0686
KENYA,MINSOL,SOL,2029,2.2264
KENYA,MINSOL,SOL,2030,2.442
KENYA,MINSOL,SOL,2031,2.7365
KENYA,MINSOL,SOL,2032,4.145
KENYA,MINSOL,SOL,2033,4.6945
KENYA,MINSOL,SOL,2034,5.4451
KENYA,MINSOL,SOL,2035,6.4705
KENYA,MINSOL,SOL,2036,7.8712
KENYA,MINSOL,SOL,2037,9.7846
KENYA,MINSOL,SOL,2038,12.087
KENYA,MINSOL,SOL,2039,15.6572
KENYA,MINSOL,SOL,2040,20.5341
KENYA,MINSOL,SOL,2041,26.7005
KENYA,MINSOL,SOL,2042,35.5529
KENYA,MINSOL,SOL,2043,47.7266
KENYA,MINSOL,SOL,2044,56.3187
KENYA,MINSOL,SOL,2045,60.9724
KENYA,MINSOL,SOL,2046,61.0508
KENYA,MINSOL,SOL,2047,60.9662
KENYA,MINSOL,SOL,2048,60.8506
KENYA,MINSOL,SOL,2049,60.6928
KENYA,MINSOL,SOL,2050,60.4772
KENYA,MINWND,WND,2019,5.4829
KENYA,MINWND,WND,2020,5.4829
KENYA,MINWND,WND,2021,6.9304
KENYA,MINWND,WND,2022,6.9304
KENYA,MINWND,WND,2023,6.9304
KENYA,MINWND,WND,2024,6.9304
KENYA,MINWND,WND,2025,7.0512
KENYA,MINWND,WND,2026,7.8084
KENYA,MINWND,WND,2027,7.97
KENYA,MINWND,WND,2028,9.3821
KENYA,MINWND,WND,2029,9.6456
KENYA,MINWND,WND,2030,10.4405
KENYA,MINWND,WND,2031,11.3061
KENYA,MINWND,WND,2032,11.8548
KENYA,MINWND,WND,2033,12.9498
KENYA,MINWND,WND,2034,13.8447
KENYA,MINWND,WND,2035,14.7633
KENYA,MINWND,WND,2036,16.2226
KENYA,MINWND,WND,2037,18.0862
KENYA,MINWND,WND,2038,16.9975
KENYA,MINWND,WND,2039,18.3023
KENYA,MINWND,WND,2040,22.183
KENYA,MINWND,WND,2041,25.6911
KENYA,MINWND,WND,2042,32.0196
KENYA,MINWND,WND,2043,40.1009
KENYA,MINWND,WND,2044,50.4209
KENYA,MINWND,WND,2045,63.4785
KENYA,MINWND,WND,2046,79.5503
KENYA,MINWND,WND,2047,100.8443
KENYA,MINWND,WND,2048,127.992
KENYA,MINWND,WND,2049,162.6024
KENYA,MINWND,WND,2050,206.2685
KENYA,PWRBIO001,ELC001,2019,0.0315
KENYA,PWRBIO001,ELC001,2020,0.0315
KENYA,PWRBIO001,ELC001,2021,0.0315
KENYA,PWRBIO001,ELC001,2022,0.0315
KENYA,PWRBIO001,ELC001,2023,0.0536
KENYA,PWRBIO001,ELC001,2024,0.0536
KENYA,PWRBIO001,ELC001,2025,0.0536
KENYA,PWRBIO001,ELC001,2026,0.2113
KENYA,PWRBIO001,ELC001,2027,0.2113
KENYA,PWRBIO001,ELC001,2028,0.3373
KENYA,PWRBIO001,ELC001,2029,0.3373
KENYA,PWRBIO001,ELC001,2030,1.0973
KENYA,PWRBIO001,ELC001,2031,1.4125
KENYA,PWRBIO001,ELC001,2032,1.5828
KENYA,PWRBIO001,ELC001,2033,1.6301
KENYA,PWRBIO001,ELC001,2034,1.7247
KENYA,PWRBIO001,ELC001,2035,1.7294
KENYA,PWRBIO001,ELC001,2036,1.8697
KENYA,PWRBIO001,ELC001,2037,2.01
KENYA,PWRBIO001,ELC001,2038,2.1504
KENYA,PWRBIO001,ELC001,2039,2.2906
KENYA,PWRBIO001,ELC001,2040,2.4309
KENYA,PWRBIO001,ELC001,2041,2.5713
KENYA,PWRBIO001,ELC001,2042,2.7116
KENYA,PWRBIO001,ELC001,2043,2.8518
KENYA,PWRBIO001,ELC001,2044,2.9922
KENYA,PWRBIO001,ELC001,2045,3.1325
KENYA,PWRBIO001,ELC001,2046,3.2727
KENYA,PWRBIO001,ELC001,2047,3.4131
KENYA,PWRBIO001,ELC001,2048,3.4131
KENYA,PWRBIO001,ELC001,2049,2.3938
KENYA,PWRBIO001,ELC001,2050,2.2166
KENYA,PWRDIST,ELC003,2019,41.3537
KENYA,PWRDIST,ELC003,2020,42.0813
KENYA,PWRDIST,ELC003,2021,44.004
KENYA,PWRDIST,ELC003,2022,45.4828
KENYA,PWRDIST,ELC003,2023,46.7827
KENYA,PWRDIST,ELC003,2024,48.3656
KENYA,PWRDIST,ELC003,2025,50.1221
KENYA,PWRDIST,ELC003,2026,54.3891
KENYA,PWRDIST,ELC003,2027,59.2577
KENYA,PWRDIST,ELC003,2028,64.6878
KENYA,PWRDIST,ELC003,2029,70.5585
KENYA,PWRDIST,ELC003,2030,76.5842
KENYA,PWRDIST,ELC003,2031,83.3155
KENYA,PWRDIST,ELC003,2032,90.8249
KENYA,PWRDIST,ELC003,2033,98.8535
KENYA,PWRDIST,ELC003,2034,107.7459
KENYA,PWRDIST,ELC003,2035,117.3901
KENYA,PWRDIST,ELC003,2036,128.0009
KENYA,PWRDIST,ELC003,2037,139.934
KENYA,PWRDIST,ELC003,2038,152.9531
KENYA,PWRDIST,ELC003,2039,167.1578
KENYA,PWRDIST,ELC003,2040,182.6534
KENYA,PWRDIST,ELC003,2041,199.5593
KENYA,PWRDIST,ELC003,2042,216.3977
KENYA,PWRDIST,ELC003,2043,234.2902
KENYA,PWRDIST,ELC003,2044,253.6416
KENYA,PWRDIST,ELC003,2045,274.5688
KENYA,PWRDIST,ELC003,2046,297.2011
KENYA,PWRDIST,ELC003,2047,321.6783
KENYA,PWRDIST,ELC003,2048,348.1501
KENYA,PWRDIST,ELC003,2049,376.7788
KENYA,PWRDIST,ELC003,2050,407.7399
KENYA,PWRGEO001,ELC001,2019,0.4471
KENYA,PWRGEO001,ELC001,2020,0.4471
KENYA,PWRGEO001,ELC001,2021,0.4471
KENYA,PWRGEO001,ELC001,2022,0.4471
KENYA,PWRGEO001,ELC001,2023,0.4471
KENYA,PWRGEO002,ELC001,2019,4.1735
KENYA,PWRGEO002,ELC001,2020,4.1735
KENYA,PWRGEO002,ELC001,2021,4.1735
KENYA,PWRGEO002,ELC001,2022,4.1735
KENYA,PWRGEO002,ELC001,2023,4.1736
KENYA,PWRGEO002,ELC001,2024,4.1736
KENYA,PWRGEO002,ELC001,2025,4.1735
KENYA,PWRGEO002,ELC001,2026,4.1735
KENYA,PWRGEO002,ELC001,2027,4.1735
KENYA,PWRGEO002,ELC001,2028,4.1735
KENYA,PWRGEO002,ELC001,2029,4.1735
KENYA,PWRGEO002,ELC001,2030,4.1735
KENYA,PWRGEO002,ELC001,2031,4.1735
KENYA,PWRGEO002,ELC001,2032,4.1735
KENYA,PWRGEO002,ELC001,2033,4.1735
KENYA,PWRGEO002,ELC001,2034,4.1736
KENYA,PWRGEO002,ELC001,2035,4.1736
KENYA,PWRGEO002,ELC001,2036,4.1736
KENYA,PWRGEO002,ELC001,2037,4.1735
KENYA,PWRGEO002,ELC001,2038,4.1735
KENYA,PWRGEO002,ELC001,2039,4.1735
KENYA,PWRGEO002,ELC001,2040,4.1735
KENYA,PWRGEO003,ELC001,2019,3.0109
KENYA,PWRGEO003,ELC001,2020,3.0109
KENYA,PWRGEO003,ELC001,2021,3.0109
KENYA,PWRGEO003,ELC001,2022,3.0109
KENYA,PWRGEO003,ELC001,2023,3.0109
KENYA,PWRGEO003,ELC001,2024,3.0109
KENYA,PWRGEO003,ELC001,2025,3.0109
KENYA,PWRGEO003,ELC001,2026,3.0109
KENYA,PWRGEO003,ELC001,2027,3.0109
KENYA,PWRGEO003,ELC001,2028,3.0109
KENYA,PWRGEO004,ELC001,2019,1.902
