r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS20,2024,0.2048
KENYA,BESS_TECH,TS20,2025,2.7221
KENYA,BESS_TECH,TS20,2026,2.7221
KENYA,BESS_TECH,TS20,2027,2.7221
KENYA,BESS_TECH,TS20,2028,2.7221
KENYA,BESS_TECH,TS20,2029,2.7221
KENYA,BESS_TECH,TS20,2030,2.7221
KENYA,BESS_TECH,TS20,2031,2.7221
KENYA,BESS_TECH,TS20,2032,2.7221
KENYA,BESS_TECH,TS20,2033,2.7221
KENYA,BESS_TECH,TS20,2034,2.5174
KENYA,BESS_TECH,TS20,2044,1.9248
KENYA,BESS_TECH,TS20,2045,3.0683
KENYA,BESS_TECH,TS20,2046,7.4984
KENYA,BESS_TECH,TS20,2047,11.357
KENYA,BESS_TECH,TS20,2048,21.4741
KENYA,BESS_TECH,TS20,2049,33.1128
KENYA,BESS_TECH,TS20,2050,33.1128
KENYA,BESS_TECH,TS21,2024,0.2048
KENYA,BESS_TECH,TS21,2025,2.2148
KENYA,BESS_TECH,TS21,2026,0.7249
KENYA,BESS_TECH,TS21,2027,1.3035
KENYA,BESS_TECH,TS21,2028,1.3807
KENYA,BESS_TECH,TS21,2029,0.6522
KENYA,BESS_TECH,TS21,2030,1.4603
KENYA,BESS_TECH,TS21,2031,1.1206
KENYA,BESS_TECH,TS21,2032,0.1457
KENYA,BESS_TECH,TS21,2034,0.8515
KENYA,BESS_TECH,TS21,2045,0.0451
KENYA,BESS_TECH,TS21,2049,0.3894
KENYA,BESS_TECH,TS22,2024,0.2048
KENYA,BESS_TECH,TS22,2025,2.7221
KENYA,BESS_TECH,TS22,2026,0.4206
KENYA,BESS_TECH,TS22,2027,2.7221
KENYA,BESS_TECH,TS22,2028,2.7221
KENYA,BESS_TECH,TS22,2029,2.3252
KENYA,BESS_TECH,TS22,2030,2.7221
KENYA,BESS_TECH,TS22,2031,2.7221
KENYA,BESS_TECH,TS22,2032,1.5764
KENYA,BESS_TECH,TS22,2033,0.9181
KENYA,BESS_TECH,TS22,2034,2.5174
KENYA,BESS_TECH,TS22,2044,1.5975
KENYA,BESS_TECH,TS22,2045,3.0683
KENYA,BESS_TECH,TS22,2046,4.2801
KENYA,BESS_TECH,TS22,2047,3.1665
KENYA,BESS_TECH,TS22,2048,13.2271
KENYA,BESS_TECH,TS22,2049,8.6913
KENYA,BESS_TECH,TS22,2050,9.3019
KENYA,BESS_TECH,TS23,2024,0.2048
