r,t,y,AccumulatedNewCapacity
KENYA,PWRGEO011,2029,0.0833
KENYA,PWRGEO011,2030,0.0833
KENYA,PWRGEO011,2031,0.0833
KENYA,PWRGEO011,2032,0.0833
KENYA,PWRGEO011,2033,0.0833
KENYA,PWRGEO011,2034,0.0833
KENYA,PWRGEO011,2035,0.0833
KENYA,PWRGEO011,2036,0.0833
KENYA,PWRGEO011,2037,0.0833
KENYA,PWRGEO011,2038,0.0833
KENYA,PWRGEO011,2039,0.0833
KENYA,PWRGEO011,2040,0.0833
KENYA,PWRGEO011,2041,0.0833
KENYA,PWRGEO011,2042,0.0833
KENYA,PWRGEO011,2043,0.0833
KENYA,PWRGEO011,2044,0.0833
KENYA,PWRGEO011,2045,0.0833
KENYA,PWRGEO011,2046,0.0833
KENYA,PWRGEO013,2029,0.14
KENYA,PWRGEO013,2030,0.14
KENYA,PWRGEO013,2031,0.14
KENYA,PWRGEO013,2032,0.14
KENYA,PWRGEO013,2033,0.14
KENYA,PWRGEO013,2034,0.14
KENYA,PWRGEO013,2035,0.14
KENYA,PWRGEO013,2036,0.14
KENYA,PWRGEO013,2037,0.14
KENYA,PWRGEO013,2038,0.14
KENYA,PWRGEO013,2039,0.14
KENYA,PWRGEO013,2040,0.14
KENYA,PWRGEO013,2041,0.14
KENYA,PWRGEO013,2042,0.14
