r,t,y,DiscountedSalvageValue
KENYA,PWRWND101,2032,0.4377
KENYA,PWRWND101,2033,1.0267
KENYA,PWRWND101,2034,1.8074
KENYA,PWRWND101,2035,2.8301
KENYA,PWRWND101,2036,4.1569
KENYA,PWRWND101,2037,5.8651
KENYA,PWRWND101,2038,8.0502
KENYA,PWRWND101,2039,10.8303
KENYA,PWRWND101,2040,14.3513
KENYA,PWRWND101,2041,18.856
KENYA,PWRWND101,2042,24.5414
KENYA,PWRWND101,2043,31.6955
KENYA,PWRWND101,2044,40.6741
KENYA,PWRWND101,2045,51.9169
KENYA,PWRWND101,2046,65.9665
KENYA,PWRWND101,2047,83.2341
KENYA,PWRWND101,2048,104.6684
KENYA,PWRWND101,2049,131.2375
KENYA,PWRWND101,2050,164.1301
